Drug,Target,Selectivity_Score,Rank_Select,aff_local,aff_local_n,entropy_sel_n,gap_local_n,sr_local_n
CHEMBL1221561,EGFR_HUMAN,0.513879,131.0,6.499221,0.45464402,0.37744772,0.79682034,0.73063993
CHEMBL386253,EGFR_HUMAN,0.51386595,132.0,7.954771,0.6001677,0.22564434,0.9310478,0.9135775
CHEMBL2106227,EGFR_HUMAN,0.5138226,133.0,7.9612994,0.60082036,0.20533757,0.97417957,0.9663961
CHEMBL485186,EGFR_HUMAN,0.51376426,134.0,8.554731,0.6601508,0.13954109,0.983802,0.98018825
CHEMBL1410877,EGFR_HUMAN,0.5137522,135.0,8.232389,0.6279236,0.18213934,0.98184025,0.9769716
CHEMBL87385,EGFR_HUMAN,0.5137078,136.0,8.448896,0.6495696,0.1980549,0.98330986,0.97934294
CHEMBL473428,EGFR_HUMAN,0.51358104,137.0,8.421231,0.6468037,0.19682507,0.9689079,0.96186894
CHEMBL478524,EGFR_HUMAN,0.5135428,138.0,8.212455,0.6259305,0.21857338,0.9606005,0.950844
CHEMBL4297338,EGFR_HUMAN,0.5133654,139.0,6.22298,0.42702585,0.4753295,0.7491435,0.67058885
CHEMBL270550,EGFR_HUMAN,0.5133449,140.0,7.933366,0.5980276,0.19581072,0.9552877,0.9425972
CHEMBL2403830,EGFR_HUMAN,0.51287305,141.0,7.7576404,0.5804589,0.2192044,0.9185072,0.89658535
CHEMBL214601,EGFR_HUMAN,0.5128265,142.0,8.444702,0.64915025,0.2882349,0.8909899,0.8749845
CHEMBL460910,EGFR_HUMAN,0.51276356,143.0,7.4235,0.547052,0.3234473,0.88812613,0.85615164
CHEMBL65704,EGFR_HUMAN,0.5126719,144.0,8.265,0.631184,0.16077337,1.0,1.0
CHEMBL386310,EGFR_HUMAN,0.51265347,145.0,8.432,0.6478804,0.28254402,0.9051657,0.889841
CHEMBL2311933,EGFR_HUMAN,0.51257014,146.0,8.009828,0.6056722,0.17171891,1.0,1.0
CHEMBL92731,EGFR_HUMAN,0.5124882,147.0,8.604618,0.6651384,0.1445523,1.0,1.0
CHEMBL3828070,EGFR_HUMAN,0.51235574,148.0,8.283044,0.6329879,0.19944185,0.9435842,0.93120396
CHEMBL2138625,EGFR_HUMAN,0.5123208,149.0,8.529009,0.6575791,0.2728159,0.90666807,0.8925961
CHEMBL403989,EGFR_HUMAN,0.51229244,150.0,8.483727,0.653052,0.14695615,1.0,1.0
CHEMBL4297584,EGFR_HUMAN,0.51220477,151.0,7.1183896,0.5165475,0.31960964,0.84817314,0.80455756
CHEMBL4475494,EGFR_HUMAN,0.51217496,152.0,8.010698,0.60575914,0.18026358,0.9683073,0.9592182
CHEMBL3632719,EGFR_HUMAN,0.51204365,153.0,8.060763,0.6107646,0.20412545,0.9518973,0.9393634
CHEMBL207496,EGFR_HUMAN,0.51196164,154.0,7.378169,0.5425199,0.29814598,0.87280047,0.8377847
CHEMBL4068490,EGFR_HUMAN,0.51193136,155.0,8.412891,0.6459698,0.18678929,0.9877071,0.9846626
CHEMBL1721885,EGFR_HUMAN,0.51184994,156.0,8.772997,0.6819727,0.30111283,0.89487725,0.8832233
CHEMBL564941,EGFR_HUMAN,0.51183116,157.0,7.8928595,0.59397787,0.14361554,0.9513078,0.937404
CHEMBL281872,EGFR_HUMAN,0.51178724,158.0,8.224281,0.6271129,0.20066883,0.9788436,0.97321665
CHEMBL4297673,EGFR_HUMAN,0.51170635,159.0,7.1223965,0.51694816,0.28542724,0.86792517,0.8269992
CHEMBL5198592,EGFR_HUMAN,0.51154685,160.0,8.255522,0.63023627,0.22061615,0.9666833,0.95842355
CHEMBL485351,EGFR_HUMAN,0.5115004,161.0,8.426718,0.6473522,0.14962187,0.9685095,0.961418
CHEMBL2107065,EGFR_HUMAN,0.51131153,162.0,7.9899135,0.60368115,0.22810255,0.9404551,0.925063
CHEMBL2105681,EGFR_HUMAN,0.51112765,163.0,6.6006603,0.46478572,0.37530458,0.84046453,0.7824767
CHEMBL216105,EGFR_HUMAN,0.51098275,164.0,8.339999,0.63868225,0.20923297,0.9576014,0.94801766
CHEMBL436968,EGFR_HUMAN,0.510837,165.0,7.9223003,0.5969213,0.11600623,1.0,1.0
CHEMBL429430,EGFR_HUMAN,0.5108178,166.0,7.9927635,0.6039661,0.19528219,0.96047014,0.94937944
CHEMBL103045,EGFR_HUMAN,0.5105727,167.0,8.332163,0.63789874,0.18040211,0.9747232,0.9685201
CHEMBL589103,EGFR_HUMAN,0.51056445,168.0,7.9251914,0.59721035,0.2000715,0.95380217,0.9407103
CHEMBL254316,EGFR_HUMAN,0.5105335,169.0,7.570233,0.56172216,0.17631817,0.93957865,0.92004114
CHEMBL300058,EGFR_HUMAN,0.51051927,170.0,7.7418914,0.5788843,0.22919193,0.9246104,0.903628
CHEMBL23254,EGFR_HUMAN,0.5105046,171.0,8.021651,0.6068543,0.2529373,0.8966327,0.87518483
CHEMBL4594433,EGFR_HUMAN,0.5104162,172.0,7.520022,0.55670214,0.27737367,0.8841088,0.85323185
