Drug Name,ICD10,logit_or,logit_p
Levodopa,C50,0.4721569904794793,1.542685185484442e-06
Carbidopa Anhydrous,C50,0.4807462560276836,3.565254348890579e-06
Rifaximin,C61,0.4740175336707564,2.2220921581841725e-06
Ritonavir,C34,0.6273346222457421,0.0044627748118563
Azelastine,C22,0.6444258480053757,0.0075089508452873
Chlordiazepoxide,C61,0.4280503492467934,1.045584970264942e-07
Hydroxychloroquine,C61,0.488153189904888,8.816125864512164e-06
Melatonin,C54,0.6527398795035008,0.0103273720371842
Thiamine Ion,C73,0.4891058526730618,1.1227780319838104e-05
Risperidone,C44,0.6297012827024355,0.0057867623904063
Midodrine,C47,0.6295157151532328,0.0057696192074535
Milrinone,C44,0.5230207589130815,8.013505600142702e-05
Glycerin,C61,0.4071745852878764,4.2344810812926754e-08
Zinc Acetate Anhydrous,C44,0.4757688459287565,1.0163613886852692e-05
Valproic Acid,C61,0.3530129380814296,2.1006685176810301e-10
Sodium Citrate,C73,0.5494896512616997,0.0004395805372917
Meropenem,C44,0.5388692828548269,0.0003335427967695
Dapagliflozin,C50,0.6446603764818737,0.0126019630197655
Zinc Acetate Anhydrous,C61,0.3250624050357992,1.6946775813558408e-11
Celecoxib,C22,0.6769564786140162,0.0289956687985808
Bumetanide,C61,0.5021497755728938,7.200790100603235e-05
Rivaroxaban,C73,0.6828816291502844,0.035126794931666
Phenazopyridine,C22,0.6662403028223294,0.0244272741784961
Tretinoin,C73,0.6352052587369358,0.0114241657484795
Levetiracetam,C67,0.6892528195435703,0.0425461513136332
Misoprostol,C73,0.6718998186870538,0.0318413879535426
Celecoxib,C73,0.5948808309666066,0.0044389457467472
Gentamicin,C73,0.4715802135838982,3.106484923342489e-05
Sacubitril,C7A,0.5789033218361304,0.0030609602924946
Methadone,C47,0.549334711460561,0.0010986089487072
Meropenem,C50,0.4502620720420637,9.359126525807533e-06
Risperidone,C61,0.3779383044713987,6.037193269843058e-08
Lamotrigine,C61,0.6841066529493705,0.0466822090437089
Risperidone,C47,0.5350742627741719,0.0007438048135659
Formoterol,C61,0.4687651822540583,3.569664005030345e-05
