Model,RMSE,MAE,MSE,R2,Pearson,Median_AE,Explained_Variance,Data,Mode,Dataset,Type
Raw Random Forest,0.7487320663565431,0.498646468615293,0.5605997071905389,0.0980174038371474,0.3477131481218362,0.3135424831983755,0.0980747363185337,Davis,cold_drug,Test,InHouse
LinkD,0.7496448920377654,0.4771425741989318,0.561967464158313,0.0958167373635677,0.3942258391738411,0.2654512916206348,0.0961972542176728,Davis,cold_drug,Test,InHouse
Raw Diffusion,0.3510598808134229,0.2447654494436404,0.1232430399167347,0.8248206730958083,0.9181001066377006,0.1731910181380609,0.8406782452354806,Kiba,random,Training,InHouse
Raw Random Forest,0.1978097185160452,0.1249649253326907,0.039128684739397,0.944381957310328,0.9821245089096808,0.0720001481199883,0.9444552820552724,Kiba,random,Training,InHouse
LinkD,0.2423324377385697,0.15931996518442,0.0587250103803177,0.9165274745103976,0.9615563578363818,0.0994796041527514,0.919681381380265,Kiba,random,Training,InHouse
Raw Diffusion,0.4463847707825369,0.2950261015752565,0.199259363586578,0.6943374135668905,0.8475809094771922,0.1894510078430178,0.7113269581547156,Kiba,random,Validation,InHouse
Raw Random Forest,0.5039209036649464,0.3242087038519187,0.2539362771504961,0.6104633786542719,0.7911991499445381,0.1930226034100179,0.6113438991682075,Kiba,random,Validation,InHouse
LinkD,0.4354014928746413,0.2720058585657615,0.1895744599974664,0.7091939935896251,0.8471916379198555,0.1480241008216909,0.7131550770741775,Kiba,random,Validation,InHouse
Raw Diffusion,0.4585489151082446,0.3045608136680459,0.2102671075469481,0.6960056767362724,0.8504303306107437,0.1978802621383666,0.717074075632474,Kiba,random,Test,InHouse
Raw Random Forest,0.5227633826672679,0.3341585835625822,0.2732815542577242,0.6049023448496934,0.787152985680838,0.1960226838199972,0.6056347240322888,Kiba,random,Test,InHouse
LinkD,0.4474165221846966,0.2779490620765327,0.200181544323849,0.710586911064875,0.8477769108829193,0.1478305244162401,0.713106773106092,Kiba,random,Test,InHouse
Raw Diffusion,0.3226803668672691,0.2203523499430064,0.1041226191615954,0.8483017861338974,0.9272950039742074,0.1506310500012206,0.8555097144246601,Kiba,cold_protein,Training,InHouse
Raw Random Forest,0.1906252917238787,0.1170877930984402,0.0363380018448138,0.9470584775939386,0.9815961661682332,0.0640002542800113,0.9471105523182136,Kiba,cold_protein,Training,InHouse
LinkD,0.2246006377143137,0.1456214326379974,0.0504454464616764,0.926505074617476,0.9643472789782532,0.0869079557279892,0.927589942307903,Kiba,cold_protein,Training,InHouse
