Drug Chembl ID,Drug Name,Clinical Trial Phase
CHEMBL4873876,Bms-986224,1.0
CHEMBL5075693,Chembl5075693,
CHEMBL5095215,Avx-001,1.0
CHEMBL5095403,Sirpefenicol,2.0
CHEMBL5095415,Deulinoleate Ethyl,1.0
CHEMBL5095418,Ebaresdax Hydrochloride,1.0
CHEMBL525610,Teriparatide,4.0
CHEMBL5314914,Dsp-0390,0.5
CHEMBL61593,Cyclothiazide,4.0
CHEMBL90589,Chembl90589,
CHEMBL90983,Terameprocol,2.0
CHEMBL1094,Felbamate,4.0
CHEMBL1094718,Chembl1094718,
CHEMBL1163074,Chembl1163074,
CHEMBL1200480,Octreotide Acetate,4.0
CHEMBL1200829,Gluconolactone,4.0
CHEMBL1200870,Timolol Maleate,4.0
CHEMBL1201748,Cabazitaxel,4.0
CHEMBL1222313,Chembl1222313,
CHEMBL1230906,Alpha-Aminoisobutyric Acid,
CHEMBL1234815,Chembl1234815,
CHEMBL1235782,Soraphen A,
CHEMBL1237061,Pitavastatin Calcium,4.0
CHEMBL1254577,Chembl1254577,
CHEMBL1322675,Chembl1322675,
CHEMBL1325863,Chembl1325863,
CHEMBL1374069,Chembl1374069,
CHEMBL146092,Chembl146092,
CHEMBL1493,Flavoxate,4.0
CHEMBL1508,Escitalopram,4.0
CHEMBL1569,Amantadine Hydrochloride,4.0
CHEMBL1587228,Halometasone,2.0
CHEMBL159226,Moxisylyte,4.0
CHEMBL1605,Ceftibuten,4.0
CHEMBL1698,Bupropion Hydrochloride,4.0
CHEMBL1743260,Karenitecin,3.0
CHEMBL1761512,Chembl1761512,
CHEMBL1802404,Chembl1802404,
CHEMBL1808388,Bexagliflozin,4.0
CHEMBL1868702,Gestrinone,4.0
CHEMBL2063454,Chembl2063454,
CHEMBL2105581,Veralipride,4.0
CHEMBL2106403,Flurithromycin,2.0
CHEMBL2107387,Vortioxetine Hydrobromide,4.0
CHEMBL2152922,Pf-04995274,1.0
CHEMBL218394,Boceprevir,4.0
CHEMBL2393172,Chembl2393172,
CHEMBL253376,Bromhexine,4.0
CHEMBL258203,Chembl258203,
CHEMBL28885,L-Serine O-Sulfate,
CHEMBL29741,Irampanel,2.0
CHEMBL3127507,Chembl3127507,
CHEMBL3187872,Chembl3187872,
CHEMBL3301626,Basimglurant,2.0
CHEMBL332625,Chembl332625,
CHEMBL3422096,Chembl3422096,
CHEMBL3707234,Nicofetamide,-1.0
CHEMBL4163879,Chembl4163879,
CHEMBL425190,Sb-714786,
CHEMBL4297363,Ucb-1184197,2.0
CHEMBL4297434,Auriclosene Monosodium Monohydrate,2.0
CHEMBL4297648,Seletalisib,2.0
CHEMBL4297657,Indacaterol Acetate,3.0
CHEMBL453716,Dioxane,
CHEMBL456218,Chembl456218,
CHEMBL4594407,Carbacyclic Phosphatidic Acid,1.0
CHEMBL460,Molindone,4.0
CHEMBL4650314,Desidustat,3.0
CHEMBL468154,Scyllitol,2.0
CHEMBL481611,Odanacatib,3.0
CHEMBL484726,Chembl484726,
CHEMBL5095190,Odm-207,1.0
CHEMBL5314955,Firuglipel,2.0
CHEMBL549473,Dipyrithione,2.0
CHEMBL550961,Diazepinomicin,2.0
CHEMBL573819,Chembl573819,
CHEMBL590753,Sb-218655,
CHEMBL592868,Estrogen,3.0
CHEMBL956,Suprofen,4.0
CHEMBL106803,Chembl106803,
CHEMBL1091359,Chembl1091359,
CHEMBL1200328,Duloxetine Hydrochloride,4.0
CHEMBL1200859,Isosulfan Blue,4.0
CHEMBL1200912,Phentermine Hydrochloride,4.0
CHEMBL1201081,Methylprednisolone Sodium Succinate,4.0
CHEMBL1221600,Bistramide A,
CHEMBL1231661,Ceftazidime Batsi,
CHEMBL1234930,Octanoylcarnitine,
CHEMBL1235716,Propionamide,
CHEMBL1236126,Chembl1236126,
CHEMBL1237021,Lurasidone,4.0
CHEMBL124081,Chembl124081,
CHEMBL1491306,Benzylthiouracil,4.0
CHEMBL1497,Betamethasone Valerate,4.0
CHEMBL1556,Inosine,3.0
CHEMBL1615369,Dabigatran Etexilate Mesylate,4.0
CHEMBL1766779,Chembl1766779,
CHEMBL1770,Levamisole Hydrochloride,4.0
CHEMBL1917527,Chembl1917527,
CHEMBL19449,Ibudilast,4.0
CHEMBL2036958,Sch-900271,2.0
CHEMBL2103797,Bevasiranib Sodium,-1.0
CHEMBL2152047,L-Threonic Acid,2.0
CHEMBL2158685,Abc-294640,2.0
CHEMBL219376,Oxycinchophen,2.0
CHEMBL221572,Ribostamycin,2.0
CHEMBL2315931,Chembl2315931,
CHEMBL243580,Carbazole,
CHEMBL248891,Chembl248891,
CHEMBL256087,Menthol,4.0
CHEMBL273481,Muscimol,1.0
CHEMBL276864,3-Phenyl-Propylamine,
CHEMBL278462,Cipralisant,2.0
CHEMBL298406,Ecopipam,3.0
CHEMBL3093930,Chembl3093930,
CHEMBL311300,Peldesine,2.0
CHEMBL3234755,Chembl3234755,
CHEMBL3287218,Pf-5190457,2.0
CHEMBL3329664,Chembl3329664,
CHEMBL367463,Pranoprofen,2.0
CHEMBL3707371,Hydroxyethylpromethazine,-1.0
CHEMBL383208,Chembl383208,
CHEMBL392158,Fallypride,3.0
CHEMBL3979091,Chembl3979091,
CHEMBL3989961,Tepilamide Fumarate,2.0
CHEMBL4068509,Prn-1371,1.0
CHEMBL4073929,Chembl4073929,
CHEMBL4116269,Orc-13661,2.0
CHEMBL4297299,Kx2-361,1.0
CHEMBL4297358,Bpc-157,1.0
CHEMBL4297632,Oxycodegol,3.0
CHEMBL4301491,Simmitecan,1.0
CHEMBL434492,Candoxatrilat,2.0
CHEMBL45,Melatonin,4.0
CHEMBL4577523,Golidocitinib,2.0
CHEMBL4650230,Simufilam,3.0
CHEMBL46937,Chembl46937,
CHEMBL475692,Chembl475692,
CHEMBL4868568,Monzosertib,2.0
CHEMBL5095396,Esmethadone Hydrochloride,1.0
CHEMBL522892,Dovitinib,3.0
CHEMBL5314416,Fostroxacitabine Bralpamide,1.0
CHEMBL5314541,Tacaciclib,2.0
CHEMBL5315047,Resomelagon,2.0
CHEMBL5315056,Naloxone Hydrochloride Dihydrate,4.0
CHEMBL538378,Chembl538378,
CHEMBL53904,Zuclopenthixol,3.0
CHEMBL551813,Bi-671800,2.0
