Drug,cluster,Selectivity_Score,entropy_sel_n,gini_sel_n,kurt_n,gap_n,sr_n,Type,x,y,Drug Chembl ID,Drug Name,Clinical Trial Phase
CHEMBL2105749,0,0.100668664410854,0.07843941611478134,0.0008912816885321682,0.21247492699819204,0.007265017044964967,0.006552891760862635,Type III: Broad-spectrum,13.114251,2.5928466,CHEMBL2105749,Samidorphan L-Malate,4.0
CHEMBL2105750,0,0.12393610476625697,0.06429804877618699,0.0007305295143627768,0.15862272689568432,0.09537762664757653,0.08353364131581416,Type III: Broad-spectrum,8.614657,-0.0689058,CHEMBL2105750,Sovaprevir,2.0
CHEMBL2105753,0,0.08382041015809694,0.059677709383247575,0.0005368872051439607,0.16164396976068982,0.02596028298534147,0.025117604931583454,Type III: Broad-spectrum,13.134222,0.6663467,CHEMBL2105753,Dexmecamylamine Hydrochloride,3.0
CHEMBL2105754,2,0.23788997120951288,0.2805275917454648,0.005418066317489266,0.5986780196189906,0.0921380877841995,0.07831192597686157,Type I: Highly Selective,2.4417932,9.469907,CHEMBL2105754,Trelagliptin Succinate,4.0
CHEMBL2105755,1,0.1943819697333743,0.0906176541031851,0.0014307255924378736,0.32453156802146405,0.2153191938116102,0.17961538010247471,Type II: Moderate poly-target,2.2763505,2.3010957,CHEMBL2105755,Naldemedine,4.0
CHEMBL2105756,2,0.1485526432788905,0.10756807637602017,0.001379354269147956,0.4420189022363168,0.06091588483434272,0.05520447917845846,Type I: Highly Selective,9.245565,9.378397,CHEMBL2105756,Tivozanib Hydrochloride,4.0
CHEMBL2105758,0,0.1355040404635122,0.0941657534553718,0.0012517885757399492,0.44686273847606334,0.0036708336694292504,0.0031731847052654544,Type III: Broad-spectrum,10.476984,8.923463,CHEMBL2105758,Avatrombopag Maleate,4.0
CHEMBL2105759,0,0.13659889485822113,0.11471295996374377,0.0016052334781187952,0.2952094904306933,0.03935487329833536,0.03422693056498723,Type III: Broad-spectrum,10.767013,6.1469855,CHEMBL2105759,Baricitinib,4.0
CHEMBL2105760,1,0.1759511639864514,0.13200427021291572,0.0020572652966966897,0.1615408265734703,0.1838739126538911,0.15775042955965993,Type II: Moderate poly-target,3.7421057,1.552675,CHEMBL2105760,Brexpiprazole,4.0
CHEMBL2105762,0,0.15376438374091433,0.15090797649324073,0.0029271000446627576,0.14358863568228206,0.033921025677238835,0.026219404992644194,Type III: Broad-spectrum,8.919811,4.0797153,CHEMBL2105762,Omarigliptin,4.0
CHEMBL2105763,0,0.11972296965553933,0.09900533743358282,0.0011624075205851378,0.1867620593450179,0.050183628200303504,0.044787241755050486,Type III: Broad-spectrum,9.922773,2.0031252,CHEMBL2105763,Quisinostat,2.0
CHEMBL2105764,0,0.06973279184540744,0.03688212555253911,0.0003376912217805243,0.2432073860503427,0.004540295885264979,0.004628117788277147,Type III: Broad-spectrum,14.244264,1.8092159,CHEMBL2105764,Patidegib Hydrochloride,2.0
CHEMBL2105794,0,0.10457890886124475,0.12352614205598944,0.001393445226455919,0.34676736531958013,0.0400782252946544,0.044701954085571025,Type III: Broad-spectrum,11.395916,6.641893,CHEMBL2105794,Sodium Hydroxide,-1.0
CHEMBL2105801,2,0.2338980101989126,0.4280556719784637,0.010003756680633332,0.5983915779890752,0.00017935805682718034,0.0001704572363408613,Type I: Highly Selective,2.0900958,10.684119,CHEMBL2105801,Celgosivir Hydrochloride,2.0
CHEMBL2105804,1,0.2539184176844791,0.10160815113848252,0.0019985588944159737,0.2680614503257406,0.422741263916854,0.3576724939013735,Type II: Moderate poly-target,-1.720671,1.1645023,CHEMBL2105804,Implitapide,2.0
CHEMBL2105807,0,0.11558281512542698,0.08937075279044544,0.0009713333878624351,0.2881022302602376,0.0585020042617725,0.05672094814268883,Type III: Broad-spectrum,12.309868,5.327209,CHEMBL2105807,Maduramicin,2.0
CHEMBL2105825,0,0.17743501738228928,0.10578151859652085,0.0016449118130426074,0.29401786264776514,0.14389379073201586,0.11772750577388116,Type III: Broad-spectrum,4.586964,2.9245381,CHEMBL2105825,Proglumetacin,2.0
CHEMBL2105829,2,0.20864286244870553,0.20239153334315385,0.0038005130624635913,0.3692731996247866,0.14004515204917906,0.11737992160937864,Type I: Highly Selective,3.2412822,6.258416,CHEMBL2105829,Modipafant,2.0
CHEMBL2105834,2,0.16146367666624659,0.1299435409782095,0.002059408137324456,0.5712267076859201,0.029393270583307537,0.02617127092890249,Type I: Highly Selective,8.3242655,10.576449,CHEMBL2105834,Octreotide Pamoate,3.0
CHEMBL2105842,0,0.10963800597753443,0.08296972130498949,0.0009120221268625015,0.19299430772416484,0.020641614356626124,0.018076233650775948,Type III: Broad-spectrum,12.312091,2.3084998,CHEMBL2105842,Cortivazol,4.0
