Drug Name,ICD10,odds_ratio,drug_cancer,drug_no_cancer,no_drug_cancer,no_drug_no_cancer
Tranexamic Acid,C18,0.09,14,7293,5978,281522
Tranexamic Acid,C73,0.542,9,7315,651,286832
Tranexamic Acid,C34,0.076,10,7292,5091,282410
Tranexamic Acid,C43,0.189,19,7282,3914,283592
Carvedilol,C61,0.362,7,387,14027,280380
Brimonidine,C61,0.436,29,1329,13988,279438
Ofloxacin,C61,0.116,11,1885,14026,278882
Ofloxacin,C18,0.124,5,1927,5987,286888
Haloperidol,C44,0.076,6,882,24260,269650
Haloperidol,C61,0.209,9,859,14014,279908
Chlorhexidine,C61,0.064,10,3083,14026,277684
Chlorhexidine,C50,0.065,12,3027,16842,274901
Chlorhexidine,C67,0.128,6,3123,4314,287362
Tolterodine,C18,0.274,28,4876,5952,283939
Tolterodine,C22,0.317,5,4929,924,288951
Pantoprazole,C61,0.27,48,3531,13970,277236
Thiamine Ion,C44,0.198,69,3842,24173,266690
Thiamine Ion,C61,0.137,27,3906,13985,276861
Thiamine Ion,C50,0.148,35,3867,16795,274061
Thiamine Ion,C54,0.22,7,3987,2304,288507
Buspirone,C61,0.158,5,630,14037,280137
Citalopram,C61,0.2,223,21072,13721,259695
Trimethoprim,C73,0.269,41,59347,604,234800
Duloxetine,C61,0.093,11,2350,13980,278417
Esomeprazole,C61,0.235,66,5547,13942,275220
Amantadine,C44,0.423,11,290,24261,270242
Amantadine,C61,0.612,9,294,14032,280473
