Drug Chembl ID,ICD10,logit_or,logit_ci_lower,logit_ci_upper,logit_p,exposed_occurred(a),exposed_no_occurred(b),no_exposed_occurred(c),no_exposed_no_occurred(d),Disease Description,Drug Name,Chembl ID,DrugBank ID,Drug Description,IUPAC Name,Molecular Weight,SMILES,ATC Code,ATC Level_0_code,ATC Level_0_name,ATC Level_1_code,ATC Level_1_name,ATC Level_2_code,ATC Level_2_name,ATC Level_3_code,ATC Level_3_name
CHEMBL1215,C61,0.809156976,0.739406432,0.885487309,4.14e-06,669,100583,1651,200853,Malignant neoplasm of prostate,Phenylephrine,CHEMBL1215,DB00388,"Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]",3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,167.205,CNC[C@H](O)C1=CC(O)=CC=C1,S01FB01,S01FB,Sympathomimetics excl. antiglaucoma preparations,S01F,MYDRIATICS AND CYCLOPLEGICS,S01,OPHTHALMOLOGICALS,S,SENSORY ORGANS
CHEMBL1215,C61,0.809156976,0.739406432,0.885487309,4.14e-06,669,100583,1651,200853,Malignant neoplasm of prostate,Phenylephrine,CHEMBL1215,DB00388,"Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]",3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,167.205,CNC[C@H](O)C1=CC(O)=CC=C1,R01AB01,R01AB,"Sympathomimetics, combinations excl. corticosteroids",R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01,NASAL PREPARATIONS,R,RESPIRATORY SYSTEM
CHEMBL1215,C61,0.809156976,0.739406432,0.885487309,4.14e-06,669,100583,1651,200853,Malignant neoplasm of prostate,Phenylephrine,CHEMBL1215,DB00388,"Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]",3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,167.205,CNC[C@H](O)C1=CC(O)=CC=C1,C01CA06,C01CA,Adrenergic and dopaminergic agents,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01,CARDIAC THERAPY,C,CARDIOVASCULAR SYSTEM
CHEMBL1215,C61,0.809156976,0.739406432,0.885487309,4.14e-06,669,100583,1651,200853,Malignant neoplasm of prostate,Phenylephrine,CHEMBL1215,DB00388,"Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]",3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,167.205,CNC[C@H](O)C1=CC(O)=CC=C1,R01AA04,R01AA,"Sympathomimetics, plain",R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01,NASAL PREPARATIONS,R,RESPIRATORY SYSTEM
CHEMBL1215,C61,0.809156976,0.739406432,0.885487309,4.14e-06,669,100583,1651,200853,Malignant neoplasm of prostate,Phenylephrine,CHEMBL1215,DB00388,"Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]",3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,167.205,CNC[C@H](O)C1=CC(O)=CC=C1,S01FB51,S01FB,Sympathomimetics excl. antiglaucoma preparations,S01F,MYDRIATICS AND CYCLOPLEGICS,S01,OPHTHALMOLOGICALS,S,SENSORY ORGANS
CHEMBL1215,C61,0.809156976,0.739406432,0.885487309,4.14e-06,669,100583,1651,200853,Malignant neoplasm of prostate,Phenylephrine,CHEMBL1215,DB00388,"Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]",3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,167.205,CNC[C@H](O)C1=CC(O)=CC=C1,R01BA53,R01BA,Sympathomimetics,R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01,NASAL PREPARATIONS,R,RESPIRATORY SYSTEM
CHEMBL1215,C61,0.809156976,0.739406432,0.885487309,4.14e-06,669,100583,1651,200853,Malignant neoplasm of prostate,Phenylephrine,CHEMBL1215,DB00388,"Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]",3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,167.205,CNC[C@H](O)C1=CC(O)=CC=C1,S01GA05,S01GA,Sympathomimetics used as decongestants,S01G,DECONGESTANTS AND ANTIALLERGICS,S01,OPHTHALMOLOGICALS,S,SENSORY ORGANS
CHEMBL1215,C61,0.809156976,0.739406432,0.885487309,4.14e-06,669,100583,1651,200853,Malignant neoplasm of prostate,Phenylephrine,CHEMBL1215,DB00388,"Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]",3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,167.205,CNC[C@H](O)C1=CC(O)=CC=C1,S01GA55,S01GA,Sympathomimetics used as decongestants,S01G,DECONGESTANTS AND ANTIALLERGICS,S01,OPHTHALMOLOGICALS,S,SENSORY ORGANS
CHEMBL1215,C61,0.809156976,0.739406432,0.885487309,4.14e-06,669,100583,1651,200853,Malignant neoplasm of prostate,Phenylephrine,CHEMBL1215,DB00388,"Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]",3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol,167.205,CNC[C@H](O)C1=CC(O)=CC=C1,R01BA03,R01BA,Sympathomimetics,R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01,NASAL PREPARATIONS,R,RESPIRATORY SYSTEM
CHEMBL1200706,C61,0.804760329,0.73384417,0.88252958,3.93e-06,637,116827,1581,233347,Malignant neoplasm of prostate,Aluminum Hydroxide,CHEMBL1200706,DB06723,Aluminum hydroxide is an inorganic salt used as an antacid. It is a basic compound that acts by neutralizing hydrochloric acid in gastric secretions. Subsequent increases in pH may inhibit the action of pepsin. An increase in bicarbonate ions and prostaglandins may also confer cytoprotective effects.,aluminium(3+) trihydroxide,78.0036,[OH-].[OH-].[OH-].[Al+3],A02AB02,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
CHEMBL1200706,C61,0.804760329,0.73384417,0.88252958,3.93e-06,637,116827,1581,233347,Malignant neoplasm of prostate,Aluminum Hydroxide,CHEMBL1200706,DB06723,Aluminum hydroxide is an inorganic salt used as an antacid. It is a basic compound that acts by neutralizing hydrochloric acid in gastric secretions. Subsequent increases in pH may inhibit the action of pepsin. An increase in bicarbonate ions and prostaglandins may also confer cytoprotective effects.,aluminium(3+) trihydroxide,78.0036,[OH-].[OH-].[OH-].[Al+3],A02AB01,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
CHEMBL1200706,C61,0.804760329,0.73384417,0.88252958,3.93e-06,637,116827,1581,233347,Malignant neoplasm of prostate,Aluminum Hydroxide,CHEMBL1200706,DB06723,Aluminum hydroxide is an inorganic salt used as an antacid. It is a basic compound that acts by neutralizing hydrochloric acid in gastric secretions. Subsequent increases in pH may inhibit the action of pepsin. An increase in bicarbonate ions and prostaglandins may also confer cytoprotective effects.,aluminium(3+) trihydroxide,78.0036,[OH-].[OH-].[OH-].[Al+3],A02AD03,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
