Drug Chembl ID,ICD10,logit_or,logit_ci_lower,logit_ci_upper,logit_p,exposed_occurred(a),exposed_no_occurred(b),no_exposed_occurred(c),no_exposed_no_occurred(d),Disease Description,Drug Name,Chembl ID,DrugBank ID,Drug Description,IUPAC Name,Molecular Weight,SMILES,ATC Code,ATC Level_0_code,ATC Level_0_name,ATC Level_1_code,ATC Level_1_name,ATC Level_2_code,ATC Level_2_name,ATC Level_3_code,ATC Level_3_name
CHEMBL296306,C61,0.644491318,0.513324572,0.809174316,0.000154492,99,13609,306,27110,Malignant neoplasm of prostate,Lactulose,CHEMBL296306,DB00581,"Lactulose is a synthetic disaccharide derivative of lactose that is most commonly used as a laxative agent despite also being formally indicated to serve as an adjunct therapy in treating portal-systemic encephalopathy (PSE).[FDA Label,L6199,L6202] Despite being first synthesized in 1929[A178081], investigations regarding its possible use as a laxative for the treatment of chronic constipation did not occur until the 1960s and its first clinical use for treating PSE was not until 1966.[L6202] 

Nevertheless, although lactulose received formal FDA approval in 1977 and has since become a readily available generic and brand-name non-prescription medication listed on the World Health Organization's List of Essential Medicines as one of the most effective and safe medicines employed in a health system[L6205], data regarding its optimal place in therapy is often ambiguous.[L6202]

Especially considering the use of lactulose as a laxative is typically only considered after lifestyle and dietary modifications fail and the fact that lactulose therapy cannot be ethically withheld from patients diagnosed with PSE in a placebo study, the substance may just be one of many options available for treating constipation and its efficacy in managing PSE may never be formally confirmed or refuted via clinical investigation.[L6202]","(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",342.2965,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,A06AD11,A06AD,Osmotically acting laxatives,A06A,DRUGS FOR CONSTIPATION,A06,DRUGS FOR CONSTIPATION,A,ALIMENTARY TRACT AND METABOLISM
CHEMBL1433,C73,0.652820632,0.519024942,0.821106546,0.000268073,97,88989,297,177875,Malignant neoplasm of thyroid gland,Doxycycline Anhydrous,CHEMBL1433,DB00254,Doxycycline is a broad-spectrum antibiotic synthetically derived from [oxytetracycline].[L42880] It is a second-generation tetracycline that was first discovered in 1967.[A19429] Second-generation tetracyclines exhibit lesser toxicity than first-generation tetracyclines.[A174034] Doxycycline is used to treat a wide variety of gram-positive and gram-negative bacterial infections. It is also used to treat acne and malaria.[A251730],"(4S,4aR,5S,5aR,6R,12aS)-4-(dimethylamino)-3,5,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide",444.4346,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,J01AA02,J01AA,Tetracyclines,J01A,TETRACYCLINES,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J,ANTIINFECTIVES FOR SYSTEMIC USE
CHEMBL1433,C73,0.652820632,0.519024942,0.821106546,0.000268073,97,88989,297,177875,Malignant neoplasm of thyroid gland,Doxycycline Anhydrous,CHEMBL1433,DB00254,Doxycycline is a broad-spectrum antibiotic synthetically derived from [oxytetracycline].[L42880] It is a second-generation tetracycline that was first discovered in 1967.[A19429] Second-generation tetracyclines exhibit lesser toxicity than first-generation tetracyclines.[A174034] Doxycycline is used to treat a wide variety of gram-positive and gram-negative bacterial infections. It is also used to treat acne and malaria.[A251730],"(4S,4aR,5S,5aR,6R,12aS)-4-(dimethylamino)-3,5,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide",444.4346,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,A01AB22,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
CHEMBL1433,C73,0.652820632,0.519024942,0.821106546,0.000268073,97,88989,297,177875,Malignant neoplasm of thyroid gland,Doxycycline Anhydrous,CHEMBL1433,DB00254,Doxycycline is a broad-spectrum antibiotic synthetically derived from [oxytetracycline].[L42880] It is a second-generation tetracycline that was first discovered in 1967.[A19429] Second-generation tetracyclines exhibit lesser toxicity than first-generation tetracyclines.[A174034] Doxycycline is used to treat a wide variety of gram-positive and gram-negative bacterial infections. It is also used to treat acne and malaria.[A251730],"(4S,4aR,5S,5aR,6R,12aS)-4-(dimethylamino)-3,5,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide",444.4346,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,J01AA20,J01AA,Tetracyclines,J01A,TETRACYCLINES,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J,ANTIINFECTIVES FOR SYSTEMIC USE
CHEMBL715,C44,0.788963183,0.6225026,0.999936233,0.049938381,96,17365,243,34679,Other and unspecified malignant neoplasm of skin,Olanzapine,CHEMBL715,DB00334,"Olanzapine is a thienobenzodiazepine classified as an atypical or second-generation antipsychotic agent.[A176996] The second-generation antipsychotics were introduced in the 90s and quickly gained traction due to their impressive efficacy, reduced risk for extrapyramidal side effects and reduced susceptibility to drug-drug interactions.[A177011] Olanzapine very closely resembles [clozapine] and only differs by two additional methyl groups and the absence of a chloride moiety.[T554] It was discovered by scientists at Eli Lilly and approved to be marketed in the US in 1996.[T548]","5-methyl-8-(4-methylpiperazin-1-yl)-4-thia-2,9-diazatricyclo[8.4.0.0^{3,7}]tetradeca-1(14),3(7),5,8,10,12-hexaene",312.432,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,N05AH03,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",N05A,ANTIPSYCHOTICS,N05,PSYCHOLEPTICS,N,NERVOUS SYSTEM
CHEMBL3137301,C61,0.385639074,0.309568391,0.480402714,1.9e-17,96,12712,492,25124,Malignant neoplasm of prostate,Sacubitril,CHEMBL3137301,DB09292,"Sacubitril is a prodrug neprilysin inhibitor used in combination with valsartan to reduce the risk of cardiovascular events in patients with chronic heart failure (NYHA Class II-IV) and reduced ejection fraction. It was approved by the FDA after being given the status of priority review for on July 7, 2015.

Sacubitril's active metabolite, LBQ657 inhibits neprilysin, a neutral endopeptidase that would typically cleave natiuretic peptides such as atrial natriuretic peptide (ANP), brain natriuretic peptide (BNP), and c-type natriuretic peptide (CNP). ANP and BNP are released under atrial and ventricle stress, which activate downstream receptors leading to vasodilation, natriuresis and diuresis. Under normal conditions, neprilysin breaks down other vasodilating peptides and also vasoconstrictors such as angiotensin I and II, endothelin-1 and peptide amyloid beta-protein. Inhibition of neprilysin therefore leads to reduced breakdown and increased concentration of endogenous natriuretic peptides in addition to increased levels of vasoconstricting hormones such as angiotensin II.","3-{[(2S,4R)-1-{[1,1'-biphenyl]-4-yl}-5-ethoxy-4-methyl-5-oxopentan-2-yl]carbamoyl}propanoic acid",411.498,CCOC(=O)[C@H](C)C[C@@H](CC1=CC=C(C=C1)C1=CC=CC=C1)NC(=O)CCC(O)=O,C09DX04,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations",C09D,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C,CARDIOVASCULAR SYSTEM
CHEMBL4,C61,0.754931245,0.596631597,0.955231315,0.019209898,96,24052,254,48042,Malignant neoplasm of prostate,Ofloxacin,CHEMBL4,DB01165,"A synthetic fluoroquinolone (fluoroquinolones) antibacterial agent that inhibits the supercoiling activity of bacterial DNA gyrase, halting DNA replication.","7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.0^{5,13}]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",361.3675,CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,J01MA01,J01MA,Fluoroquinolones,J01M,QUINOLONE ANTIBACTERIALS,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J,ANTIINFECTIVES FOR SYSTEMIC USE
CHEMBL4,C61,0.754931245,0.596631597,0.955231315,0.019209898,96,24052,254,48042,Malignant neoplasm of prostate,Ofloxacin,CHEMBL4,DB01165,"A synthetic fluoroquinolone (fluoroquinolones) antibacterial agent that inhibits the supercoiling activity of bacterial DNA gyrase, halting DNA replication.","7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.0^{5,13}]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",361.3675,CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,J01RA09,J01RA,Combinations of antibacterials,J01R,COMBINATIONS OF ANTIBACTERIALS,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J,ANTIINFECTIVES FOR SYSTEMIC USE
CHEMBL4,C61,0.754931245,0.596631597,0.955231315,0.019209898,96,24052,254,48042,Malignant neoplasm of prostate,Ofloxacin,CHEMBL4,DB01165,"A synthetic fluoroquinolone (fluoroquinolones) antibacterial agent that inhibits the supercoiling activity of bacterial DNA gyrase, halting DNA replication.","7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.0^{5,13}]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",361.3675,CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,S01AE01,S01AE,Fluoroquinolones,S01A,ANTIINFECTIVES,S01,OPHTHALMOLOGICALS,S,SENSORY ORGANS
CHEMBL4,C61,0.754931245,0.596631597,0.955231315,0.019209898,96,24052,254,48042,Malignant neoplasm of prostate,Ofloxacin,CHEMBL4,DB01165,"A synthetic fluoroquinolone (fluoroquinolones) antibacterial agent that inhibits the supercoiling activity of bacterial DNA gyrase, halting DNA replication.","7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.0^{5,13}]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",361.3675,CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,S02AA16,S02AA,Antiinfectives,S02A,ANTIINFECTIVES,S02,OTOLOGICALS,S,SENSORY ORGANS
CHEMBL27,C61,0.777814139,0.613364285,0.986354847,0.038141391,95,24045,244,48036,Malignant neoplasm of prostate,Propranolol,CHEMBL27,DB00571,"Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] 

Propranolol was granted FDA approval on 13 November 1967.[L6904]",1-(naphthalen-1-yloxy)-3-[(propan-2-yl)amino]propan-2-ol,259.3434,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,C07FX01,C07FX,"Beta blocking agents, other combinations",C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07,BETA BLOCKING AGENTS,C,CARDIOVASCULAR SYSTEM
CHEMBL27,C61,0.777814139,0.613364285,0.986354847,0.038141391,95,24045,244,48036,Malignant neoplasm of prostate,Propranolol,CHEMBL27,DB00571,"Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] 

Propranolol was granted FDA approval on 13 November 1967.[L6904]",1-(naphthalen-1-yloxy)-3-[(propan-2-yl)amino]propan-2-ol,259.3434,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,C07AA05,C07AA,"Beta blocking agents, non-selective",C07A,BETA BLOCKING AGENTS,C07,BETA BLOCKING AGENTS,C,CARDIOVASCULAR SYSTEM
CHEMBL27,C61,0.777814139,0.613364285,0.986354847,0.038141391,95,24045,244,48036,Malignant neoplasm of prostate,Propranolol,CHEMBL27,DB00571,"Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] 

Propranolol was granted FDA approval on 13 November 1967.[L6904]",1-(naphthalen-1-yloxy)-3-[(propan-2-yl)amino]propan-2-ol,259.3434,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,C07BA05,C07BA,"Beta blocking agents, non-selective, and thiazides",C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07,BETA BLOCKING AGENTS,C,CARDIOVASCULAR SYSTEM
CHEMBL877,C61,0.423966457,0.337918742,0.531925385,1.23e-13,91,23072,427,45899,Malignant neoplasm of prostate,Tranexamic Acid,CHEMBL877,DB00302,"Tranexamic acid is a synthetic derivative of [lysine] used as an antifibrinolytic in the treatment and prevention of major bleeding. It possesses a similar mechanism of action to [aminocaproic acid] but is approximately 10-fold more potent.[L31883]

It was first patented in 1957[A230108] and received its initial US approval in 1986.[L31858]","(1r,4r)-4-(aminomethyl)cyclohexane-1-carboxylic acid",157.2102,NC[C@H]1CC[C@@H](CC1)C(O)=O,B02AA02,B02AA,Amino acids,B02A,ANTIFIBRINOLYTICS,B02,ANTIHEMORRHAGICS,B,BLOOD AND BLOOD FORMING ORGANS
CHEMBL163,C78,0.768236408,0.602102027,0.980211246,0.033944465,90,20887,234,41720,Secondary malignant neoplasm of resp and digestive organs,Ritonavir,CHEMBL163,DB00503,"Ritonavir is an HIV protease inhibitor that interferes with the reproductive cycle of HIV. Although it was initially developed as an independent antiviral agent, it has been shown to possess advantageous properties in combination regimens with low-dose ritonavir and other protease inhibitors. It is now more commonly used as a booster of other protease inhibitors and is available in both liquid formulations and as capsules. 

While ritonavir is not an active antiviral agent against hepatitis C virus (HCV) infection, it is added in combination therapies indicated for the treatment of HCV infections as a booster. Ritonavir is a potent CYP3A inhibitor that increases peak and trough plasma drug concentrations of other protease inhibitors such as [DB09297] and overall drug exposure. American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) guidelines recommend ritonavir-boosted combination therapies as first-line therapy for HCV Genotype 1a/b and 4 treatment-naïve patients with or without cirrhosis. 

Ritonavir is found in a fixed-dose combination product with [DB09296], [DB09183], and [DB09297] as the FDA-approved product Viekira Pak. First approved in December 2014, Viekira Pak is indicated for the treatment of HCV genotype 1b without cirrhosis or with compensated cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a without cirrhosis or with compensated cirrhosis.

Ritonavir is also available as a fixed-dose combination product with [DB09296] and [DB09297] as the FDA- and Health Canada-approved product Technivie. First approved in July 2015, Technivie is indicated in combination with Ribavirin for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis or with compensated cirrhosis.

In Canada, ritonavir is also available as a fixed-dose combination product with [DB09296], [DB09183], and [DB09297] as the Health Canada-approved, commercially available product Holkira Pak. First approved in January 2015, Holkira Pak is indicated for the treatment of HCV genotype 1b with or without cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a with or without cirrhosis. The inclusion of ritonavir can select for HIV-1 protease inhibitor resistance-associated substitutions. Any HCV/HIV-1 co-infected patients treated with ritonavir-containing combination therapies should also be on a suppressive antiretroviral drug regimen to reduce the risk of HIV-1 protease inhibitor drug resistance.

Ritonavir is used in combination with other drugs to treat coronavirus disease 2019 (COVID-19) in patients who are at risk for progressing into a severe form of the disease.","(1,3-thiazol-5-yl)methyl N-[(2S,3S,5S)-3-hydroxy-5-[(2S)-3-methyl-2-{[methyl({[2-(propan-2-yl)-1,3-thiazol-4-yl]methyl})carbamoyl]amino}butanamido]-1,6-diphenylhexan-2-yl]carbamate",720.944,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,J05AP53,J05AP,Antivirals for treatment of HCV infections,J05A,DIRECT ACTING ANTIVIRALS,J05,ANTIVIRALS FOR SYSTEMIC USE,J,ANTIINFECTIVES FOR SYSTEMIC USE
CHEMBL163,C78,0.768236408,0.602102027,0.980211246,0.033944465,90,20887,234,41720,Secondary malignant neoplasm of resp and digestive organs,Ritonavir,CHEMBL163,DB00503,"Ritonavir is an HIV protease inhibitor that interferes with the reproductive cycle of HIV. Although it was initially developed as an independent antiviral agent, it has been shown to possess advantageous properties in combination regimens with low-dose ritonavir and other protease inhibitors. It is now more commonly used as a booster of other protease inhibitors and is available in both liquid formulations and as capsules. 

While ritonavir is not an active antiviral agent against hepatitis C virus (HCV) infection, it is added in combination therapies indicated for the treatment of HCV infections as a booster. Ritonavir is a potent CYP3A inhibitor that increases peak and trough plasma drug concentrations of other protease inhibitors such as [DB09297] and overall drug exposure. American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) guidelines recommend ritonavir-boosted combination therapies as first-line therapy for HCV Genotype 1a/b and 4 treatment-naïve patients with or without cirrhosis. 

Ritonavir is found in a fixed-dose combination product with [DB09296], [DB09183], and [DB09297] as the FDA-approved product Viekira Pak. First approved in December 2014, Viekira Pak is indicated for the treatment of HCV genotype 1b without cirrhosis or with compensated cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a without cirrhosis or with compensated cirrhosis.

Ritonavir is also available as a fixed-dose combination product with [DB09296] and [DB09297] as the FDA- and Health Canada-approved product Technivie. First approved in July 2015, Technivie is indicated in combination with Ribavirin for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis or with compensated cirrhosis.

In Canada, ritonavir is also available as a fixed-dose combination product with [DB09296], [DB09183], and [DB09297] as the Health Canada-approved, commercially available product Holkira Pak. First approved in January 2015, Holkira Pak is indicated for the treatment of HCV genotype 1b with or without cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a with or without cirrhosis. The inclusion of ritonavir can select for HIV-1 protease inhibitor resistance-associated substitutions. Any HCV/HIV-1 co-infected patients treated with ritonavir-containing combination therapies should also be on a suppressive antiretroviral drug regimen to reduce the risk of HIV-1 protease inhibitor drug resistance.

Ritonavir is used in combination with other drugs to treat coronavirus disease 2019 (COVID-19) in patients who are at risk for progressing into a severe form of the disease.","(1,3-thiazol-5-yl)methyl N-[(2S,3S,5S)-3-hydroxy-5-[(2S)-3-methyl-2-{[methyl({[2-(propan-2-yl)-1,3-thiazol-4-yl]methyl})carbamoyl]amino}butanamido]-1,6-diphenylhexan-2-yl]carbamate",720.944,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,J05AR10,J05AR,"Antivirals for treatment of HIV infections, combinations",J05A,DIRECT ACTING ANTIVIRALS,J05,ANTIVIRALS FOR SYSTEMIC USE,J,ANTIINFECTIVES FOR SYSTEMIC USE
CHEMBL163,C78,0.768236408,0.602102027,0.980211246,0.033944465,90,20887,234,41720,Secondary malignant neoplasm of resp and digestive organs,Ritonavir,CHEMBL163,DB00503,"Ritonavir is an HIV protease inhibitor that interferes with the reproductive cycle of HIV. Although it was initially developed as an independent antiviral agent, it has been shown to possess advantageous properties in combination regimens with low-dose ritonavir and other protease inhibitors. It is now more commonly used as a booster of other protease inhibitors and is available in both liquid formulations and as capsules. 

While ritonavir is not an active antiviral agent against hepatitis C virus (HCV) infection, it is added in combination therapies indicated for the treatment of HCV infections as a booster. Ritonavir is a potent CYP3A inhibitor that increases peak and trough plasma drug concentrations of other protease inhibitors such as [DB09297] and overall drug exposure. American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) guidelines recommend ritonavir-boosted combination therapies as first-line therapy for HCV Genotype 1a/b and 4 treatment-naïve patients with or without cirrhosis. 

Ritonavir is found in a fixed-dose combination product with [DB09296], [DB09183], and [DB09297] as the FDA-approved product Viekira Pak. First approved in December 2014, Viekira Pak is indicated for the treatment of HCV genotype 1b without cirrhosis or with compensated cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a without cirrhosis or with compensated cirrhosis.

Ritonavir is also available as a fixed-dose combination product with [DB09296] and [DB09297] as the FDA- and Health Canada-approved product Technivie. First approved in July 2015, Technivie is indicated in combination with Ribavirin for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis or with compensated cirrhosis.

In Canada, ritonavir is also available as a fixed-dose combination product with [DB09296], [DB09183], and [DB09297] as the Health Canada-approved, commercially available product Holkira Pak. First approved in January 2015, Holkira Pak is indicated for the treatment of HCV genotype 1b with or without cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a with or without cirrhosis. The inclusion of ritonavir can select for HIV-1 protease inhibitor resistance-associated substitutions. Any HCV/HIV-1 co-infected patients treated with ritonavir-containing combination therapies should also be on a suppressive antiretroviral drug regimen to reduce the risk of HIV-1 protease inhibitor drug resistance.

Ritonavir is used in combination with other drugs to treat coronavirus disease 2019 (COVID-19) in patients who are at risk for progressing into a severe form of the disease.","(1,3-thiazol-5-yl)methyl N-[(2S,3S,5S)-3-hydroxy-5-[(2S)-3-methyl-2-{[methyl({[2-(propan-2-yl)-1,3-thiazol-4-yl]methyl})carbamoyl]amino}butanamido]-1,6-diphenylhexan-2-yl]carbamate",720.944,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,J05AE03,J05AE,Protease inhibitors,J05A,DIRECT ACTING ANTIVIRALS,J05,ANTIVIRALS FOR SYSTEMIC USE,J,ANTIINFECTIVES FOR SYSTEMIC USE
CHEMBL163,C78,0.768236408,0.602102027,0.980211246,0.033944465,90,20887,234,41720,Secondary malignant neoplasm of resp and digestive organs,Ritonavir,CHEMBL163,DB00503,"Ritonavir is an HIV protease inhibitor that interferes with the reproductive cycle of HIV. Although it was initially developed as an independent antiviral agent, it has been shown to possess advantageous properties in combination regimens with low-dose ritonavir and other protease inhibitors. It is now more commonly used as a booster of other protease inhibitors and is available in both liquid formulations and as capsules. 

While ritonavir is not an active antiviral agent against hepatitis C virus (HCV) infection, it is added in combination therapies indicated for the treatment of HCV infections as a booster. Ritonavir is a potent CYP3A inhibitor that increases peak and trough plasma drug concentrations of other protease inhibitors such as [DB09297] and overall drug exposure. American Association for the Study of Liver Diseases (AASLD) and the Infectious Diseases Society of America (IDSA) guidelines recommend ritonavir-boosted combination therapies as first-line therapy for HCV Genotype 1a/b and 4 treatment-naïve patients with or without cirrhosis. 

Ritonavir is found in a fixed-dose combination product with [DB09296], [DB09183], and [DB09297] as the FDA-approved product Viekira Pak. First approved in December 2014, Viekira Pak is indicated for the treatment of HCV genotype 1b without cirrhosis or with compensated cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a without cirrhosis or with compensated cirrhosis.

Ritonavir is also available as a fixed-dose combination product with [DB09296] and [DB09297] as the FDA- and Health Canada-approved product Technivie. First approved in July 2015, Technivie is indicated in combination with Ribavirin for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis or with compensated cirrhosis.

In Canada, ritonavir is also available as a fixed-dose combination product with [DB09296], [DB09183], and [DB09297] as the Health Canada-approved, commercially available product Holkira Pak. First approved in January 2015, Holkira Pak is indicated for the treatment of HCV genotype 1b with or without cirrhosis, and when combined with Ribavirin for the treatment of HCV genotype 1a with or without cirrhosis. The inclusion of ritonavir can select for HIV-1 protease inhibitor resistance-associated substitutions. Any HCV/HIV-1 co-infected patients treated with ritonavir-containing combination therapies should also be on a suppressive antiretroviral drug regimen to reduce the risk of HIV-1 protease inhibitor drug resistance.

Ritonavir is used in combination with other drugs to treat coronavirus disease 2019 (COVID-19) in patients who are at risk for progressing into a severe form of the disease.","(1,3-thiazol-5-yl)methyl N-[(2S,3S,5S)-3-hydroxy-5-[(2S)-3-methyl-2-{[methyl({[2-(propan-2-yl)-1,3-thiazol-4-yl]methyl})carbamoyl]amino}butanamido]-1,6-diphenylhexan-2-yl]carbamate",720.944,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,J05AR23,J05AR,"Antivirals for treatment of HIV infections, combinations",J05A,DIRECT ACTING ANTIVIRALS,J05,ANTIVIRALS FOR SYSTEMIC USE,J,ANTIINFECTIVES FOR SYSTEMIC USE
