subgroup,label,n_in_group,n_complement,events_in_group,events_complement,hr_in_group,hr_ci_lower_in_group,hr_ci_upper_in_group,hr_complement,hr_ci_lower_complement,hr_ci_upper_complement,or_in_group,or_complement,interaction_p,interaction_q,fdr_significant,cell,comparator,ratio,adjustment,window_days,window_label
prior_cvd,Prior CVD,12991,59292,109,140,0.8191,0.6261,1.0716,0.8633,0.7396,1.0078,0.5321,0.4078,0.739714172559383,0.813686,False,AvsC_1to2_full,C,2,full,1095,3y
obesity,Obesity,16652,55631,76,173,0.836,0.6389,1.0938,0.8612,0.7378,1.0052,0.4307,,0.8511211395255343,0.851121,False,AvsC_1to2_full,C,2,full,1095,3y
bph,BPH,7329,64954,143,106,0.7149,0.5364,0.9529,0.8924,0.7664,1.0391,0.5882,0.3327,0.1812614221551676,0.583063,False,AvsC_1to2_full,C,2,full,1095,3y
heart_failure,Heart failure,2931,69352,32,217,0.6144,0.36,1.0486,0.8733,0.7603,1.0032,0.1954,0.5294,0.21202291512706226,0.583063,False,AvsC_1to2_full,C,2,full,1095,3y
age_le60,Age ≤ 60,46861,25422,22,306,0.968,0.8031,1.1667,0.7608,0.6346,0.912,0.4035,0.5408,0.06971153983260793,0.383413,False,AvsC_1to2_full,C,2,full,1825,5y
age_gt70,Age > 70,15175,57108,240,88,0.7705,0.6202,0.9572,0.8997,0.7654,1.0577,0.5798,,0.2615469515380954,0.599713,False,AvsC_1to2_full,C,2,full,1825,5y
male,Male,25928,46355,324,4,0.7351,0.6165,0.8767,0.9873,0.8142,1.1972,0.5268,,0.026791356727485133,0.294705,False,AvsC_1to2_full,C,2,full,1825,5y
white,White,36823,35460,231,97,0.8104,0.6823,0.9625,0.8988,0.739,1.0931,0.5236,0.5315,0.4361548197488324,0.599713,False,AvsC_1to2_full,C,2,full,1825,5y
black,Black,6341,65942,27,301,0.7544,0.4862,1.1706,0.8548,0.7468,0.9783,0.1963,0.552,0.5941488131511536,0.695551,False,AvsC_1to2_full,C,2,full,1825,5y
hypertension,Hypertension,23457,48826,247,81,0.7931,0.6541,0.9616,0.8987,0.7546,1.0702,0.581,0.3673,0.3461913803705151,0.599713,False,AvsC_1to2_full,C,2,full,1825,5y
diabetes_any,Diabetes,16832,55451,153,175,0.7768,0.6141,0.9826,0.8777,0.7519,1.0246,0.5014,0.5124,0.3949612734671323,0.599713,False,AvsC_1to2_full,C,2,full,1825,5y
prior_cvd,Prior CVD,12991,59292,149,179,0.8268,0.6448,1.0603,0.8485,0.7296,0.9868,0.5812,0.4406,0.8614428433166379,0.861443,False,AvsC_1to2_full,C,2,full,1825,5y
obesity,Obesity,16652,55631,114,214,0.7639,0.5939,0.9825,0.8777,0.7551,1.0202,0.3662,,0.3533008271194217,0.599713,False,AvsC_1to2_full,C,2,full,1825,5y
bph,BPH,7329,64954,198,130,0.7235,0.5594,0.9359,0.8853,0.762,1.0285,0.6249,0.3691,0.18410672997456534,0.599713,False,AvsC_1to2_full,C,2,full,1825,5y
heart_failure,Heart failure,2931,69352,40,288,0.7524,0.4596,1.2316,0.8523,0.7455,0.9743,0.357,0.5369,0.6323190106806975,0.695551,False,AvsC_1to2_full,C,2,full,1825,5y
age_gt70,Age > 70,14556,57732,14,6,1.264,0.9104,1.7548,1.0156,0.8549,1.2063,26.1443,,0.24711976162221394,0.49424,False,AvsC_1to2_simple,C,2,simple,365,1y
white,White,36505,35783,12,8,1.1,0.8881,1.3624,1.0292,0.8281,1.2792,,,0.6690436552761118,0.669044,False,AvsC_1to2_simple,C,2,simple,365,1y
age_le60,Age ≤ 60,47905,24383,5,55,1.0125,0.8381,1.2231,1.2274,0.9663,1.559,3.222,2.8126,0.2158703582818166,0.332683,False,AvsC_1to2_simple,C,2,simple,730,2y
age_gt70,Age > 70,14556,57732,50,10,1.2663,0.9431,1.7003,1.0364,0.873,1.2304,2.374,8.1608,0.2495123688613874,0.332683,False,AvsC_1to2_simple,C,2,simple,730,2y
white,White,36505,35783,24,36,1.2027,0.9745,1.4843,0.9889,0.8019,1.2196,,0.8797,0.1964776106959013,0.332683,False,AvsC_1to2_simple,C,2,simple,730,2y
black,Black,6707,65581,3,57,1.0693,0.6486,1.7629,1.092,0.9347,1.2756,4.2494,2.7763,0.9373192938001791,0.937319,False,AvsC_1to2_simple,C,2,simple,730,2y
age_le60,Age ≤ 60,47905,24383,5,111,1.0125,0.8381,1.2231,1.1633,0.9344,1.4483,3.222,1.5961,0.3470163775194588,0.694033,False,AvsC_1to2_simple,C,2,simple,1095,3y
age_gt70,Age > 70,14556,57732,105,11,1.1528,0.8887,1.4955,1.0417,0.8776,1.2364,1.4044,9.1603,0.5238317899230984,0.698442,False,AvsC_1to2_simple,C,2,simple,1095,3y
white,White,36505,35783,36,80,1.3075,1.0632,1.608,0.8961,0.7341,1.094,,0.4917,0.009967557923091107,0.03987,True,AvsC_1to2_simple,C,2,simple,1095,3y
black,Black,6707,65581,4,112,1.1156,0.6793,1.8324,1.0702,0.9214,1.2431,6.302,1.5697,0.8751463521801797,0.875146,False,AvsC_1to2_simple,C,2,simple,1095,3y
age_le60,Age ≤ 60,47905,24383,6,251,1.0187,0.8435,1.2304,0.8904,0.7372,1.0756,,0.7826,0.3231500965985302,0.6463,False,AvsC_1to2_simple,C,2,simple,1825,5y
age_gt70,Age > 70,14556,57732,124,133,1.3567,1.0582,1.7394,0.8295,0.709,0.9705,1.9211,0.2447,0.0010349668273351013,0.00414,True,AvsC_1to2_simple,C,2,simple,1825,5y
white,White,36505,35783,168,89,0.9672,0.8076,1.1584,0.9354,0.7679,1.1393,0.8923,0.6901,0.8063396712315014,0.80634,False,AvsC_1to2_simple,C,2,simple,1825,5y
black,Black,6707,65581,7,250,1.1127,0.6846,1.8086,0.9402,0.8186,1.0798,2.7663,0.7874,0.5133173496060222,0.684423,False,AvsC_1to2_simple,C,2,simple,1825,5y
