cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,reason,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates
AvsB_1to1_full,B,1,full,9,1095,3y,24096,24096,52,65,success,,0.7518,0.5158,1.0958,0.13775467703644315,0.1922,48192.0,117.0,14.0
AvsB_1to1_full,B,1,full,9,1825,5y,24096,24096,75,88,success,,0.8046,0.5821,1.1123,0.18824142972531632,0.1652,48192.0,163.0,14.0
AvsB_1to1_simple,B,1,simple,0,365,1y,24063,24063,17,40,success,,0.419,0.2363,0.743,0.002917456166158294,0.2923,48126.0,57.0,6.0
AvsB_1to1_simple,B,1,simple,0,730,2y,24063,24063,35,40,success,,0.8755,0.5536,1.3847,0.5696831143075765,0.2339,48126.0,75.0,6.0
AvsB_1to1_simple,B,1,simple,0,1095,3y,24063,24063,52,57,success,,0.9154,0.6257,1.3392,0.6488356174884113,0.1941,48126.0,109.0,6.0
AvsB_1to1_simple,B,1,simple,0,1825,5y,24063,24063,75,57,failed,non-convergence,,,,,,,,
AvsB_1to2_full,B,2,full,0,365,1y,24096,48192,17,91,success,,0.3583,0.2116,0.6066,0.000132822639009573,0.2686,72288.0,108.0,14.0
AvsB_1to2_full,B,2,full,0,730,2y,24096,48192,35,144,failed,non-convergence,,,,,,,,
AvsB_1to2_full,B,2,full,0,1095,3y,24096,48192,52,177,failed,non-convergence,,,,,,,,
AvsB_1to2_full,B,2,full,0,1825,5y,24096,48192,75,245,success,,0.5547,0.4223,0.7287,2.2916457728081795e-05,0.1392,72288.0,320.0,14.0
AvsB_1to2_full,B,2,full,1,365,1y,24096,48192,17,80,success,,0.3853,0.2266,0.6551,0.0004293583854998956,0.2709,72288.0,97.0,14.0
AvsB_1to2_full,B,2,full,1,730,2y,24096,48192,35,131,success,,0.4817,0.3287,0.7058,0.00017889219827987003,0.195,72288.0,166.0,14.0
AvsB_1to2_full,B,2,full,1,1095,3y,24096,48192,52,175,success,,0.5283,0.3833,0.7281,9.674505119691183e-05,0.1637,72288.0,227.0,14.0
AvsB_1to2_full,B,2,full,1,1825,5y,24096,48192,75,248,success,,0.5314,0.4052,0.6968,4.805075884449005e-06,0.1383,72288.0,323.0,14.0
AvsB_1to2_full,B,2,full,2,365,1y,24096,48186,17,77,failed,non-convergence,,,,,,,,
AvsB_1to2_full,B,2,full,2,730,2y,24096,48186,35,124,success,,0.5364,0.3666,0.7848,0.0013368615519932694,0.1942,72282.0,159.0,14.0
AvsB_1to2_full,B,2,full,2,1095,3y,24096,48186,52,174,success,,0.5627,0.4098,0.7728,0.00038204511459106224,0.1619,72282.0,226.0,14.0
AvsB_1to2_full,B,2,full,2,1825,5y,24096,48186,75,237,success,,0.5912,0.4517,0.7738,0.0001294826869617859,0.1373,72282.0,312.0,14.0
AvsB_1to2_full,B,2,full,3,365,1y,24096,48192,17,115,success,,0.2638,0.1573,0.4423,4.3345761349302573e-07,0.2637,72288.0,132.0,14.0
