cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsB_1to2_full,B,2,full,8,1095,3y,24096,48192,52,186,0.7206,0.5382,0.945,1.2907,1.1119,1.4901,0.5583,0.4105,0.7593
AvsB_1to2_full,B,2,full,8,1825,5y,24096,48192,75,228,0.624,0.4908,0.7822,0.95,0.8306,1.0816,0.6568,0.506,0.8526
AvsB_1to2_full,B,2,full,9,365,1y,24096,48192,17,81,0.7063,0.4114,1.1308,1.6838,1.3372,2.0928,0.4195,0.2487,0.7076
AvsB_1to2_full,B,2,full,9,730,2y,24096,48192,35,131,0.7273,0.5066,1.0115,1.3623,1.139,1.6166,0.5339,0.3677,0.7752
AvsB_1to2_full,B,2,full,9,1095,3y,24096,48192,52,155,0.7206,0.5382,0.945,1.0751,0.9125,1.2583,0.6703,0.4896,0.9176
AvsB_1to2_full,B,2,full,9,1825,5y,24096,48192,75,205,0.624,0.4908,0.7822,0.8537,0.7408,0.9789,0.7309,0.5611,0.9522
AvsB_1to2_simple,B,2,simple,0,365,1y,24063,48126,17,86,0.7072,0.412,1.1323,1.7901,1.4318,2.2107,0.3951,0.2348,0.6647
AvsB_1to2_simple,B,2,simple,0,730,2y,24063,48126,35,153,0.7283,0.5073,1.0129,1.594,1.3514,1.8675,0.4569,0.3165,0.6597
AvsB_1to2_simple,B,2,simple,0,1095,3y,24063,48126,52,170,0.7216,0.5389,0.9463,1.1813,1.0104,1.3728,0.6109,0.4478,0.8334
AvsB_1to2_simple,B,2,simple,0,1825,5y,24063,48126,75,178,0.6249,0.4915,0.7833,0.7424,0.6374,0.8599,0.8417,0.6427,1.1024
AvsC_1to1_full,C,1,full,0,365,1y,24096,24096,17,44,0.7063,0.4114,1.1308,1.8294,1.3292,2.4559,0.3861,0.2206,0.6757
AvsC_1to1_full,C,1,full,0,730,2y,24096,24096,35,67,0.7273,0.5066,1.0115,1.3937,1.0801,1.7699,0.5218,0.3467,0.7854
AvsC_1to1_full,C,1,full,0,1095,3y,24096,24096,52,94,0.7206,0.5382,0.945,1.3042,1.0539,1.596,0.5525,0.3938,0.7753
AvsC_1to1_full,C,1,full,0,1825,5y,24096,24096,75,127,0.624,0.4908,0.7822,1.0583,0.8822,1.2591,0.5896,0.4432,0.7844
AvsC_1to1_full,C,1,full,1,365,1y,24096,24096,17,50,0.7063,0.4114,1.1308,2.0791,1.5431,2.741,0.3397,0.1959,0.589
AvsC_1to1_full,C,1,full,1,730,2y,24096,24096,35,84,0.7273,0.5066,1.0115,1.7479,1.3942,2.1641,0.4161,0.2805,0.6172
