covariate,treat_value,ctrl_value,smd,cell,comparator
obesity,0.2297,0.2319,0.0053,AvsC_1to1_full,Class-clean control
bph,0.1143,0.0947,0.0639,AvsC_1to1_full,Class-clean control
heart_failure,0.0466,0.0384,0.0403,AvsC_1to1_full,Class-clean control
anxiety,0.3812,0.3913,0.0207,AvsC_1to1_full,Class-clean control
n_unique_medications,31.7114,17.964,0.4333,AvsC_1to1_full,Class-clean control
n_matched,24096.0,24096.0,,AvsC_1to1_simple,Class-clean control
age,51.0867,51.2146,0.0066,AvsC_1to1_simple,Class-clean control
gender,0.3655,0.3672,0.0035,AvsC_1to1_simple,Class-clean control
race_White,0.5057,0.5046,0.0022,AvsC_1to1_simple,Class-clean control
race_Black,0.0902,0.0941,0.0133,AvsC_1to1_simple,Class-clean control
race_Asian,0.0216,0.0219,0.002,AvsC_1to1_simple,Class-clean control
race_Other,0.3824,0.3794,0.0062,AvsC_1to1_simple,Class-clean control
cci,2.0264,0.7238,0.5105,AvsC_1to1_simple,Class-clean control
n_unique_medications,31.7114,10.55,0.747,AvsC_1to1_simple,Class-clean control
n_matched,24096.0,48187.0,,AvsC_1to2_full,Class-clean control
age,51.0867,51.9228,0.0427,AvsC_1to2_full,Class-clean control
gender,0.3655,0.3553,0.0211,AvsC_1to2_full,Class-clean control
race_White,0.5057,0.5113,0.0111,AvsC_1to2_full,Class-clean control
race_Black,0.0902,0.0865,0.0132,AvsC_1to2_full,Class-clean control
race_Asian,0.0216,0.0181,0.0256,AvsC_1to2_full,Class-clean control
race_Other,0.3824,0.3842,0.0036,AvsC_1to2_full,Class-clean control
cci,2.0264,1.5678,0.1543,AvsC_1to2_full,Class-clean control
hypertension,0.3265,0.3235,0.0063,AvsC_1to2_full,Class-clean control
diabetes_any,0.2367,0.231,0.0135,AvsC_1to2_full,Class-clean control
prior_cvd,0.1893,0.1749,0.0372,AvsC_1to2_full,Class-clean control
prior_cancer_any,0.2979,0.2856,0.027,AvsC_1to2_full,Class-clean control
obesity,0.2297,0.2307,0.0025,AvsC_1to2_full,Class-clean control
bph,0.1143,0.0949,0.0633,AvsC_1to2_full,Class-clean control
heart_failure,0.0466,0.0375,0.045,AvsC_1to2_full,Class-clean control
anxiety,0.3812,0.3929,0.0241,AvsC_1to2_full,Class-clean control
n_unique_medications,31.7114,18.197,0.4246,AvsC_1to2_full,Class-clean control
n_matched,24096.0,48192.0,,AvsC_1to2_simple,Class-clean control
age,51.0867,51.2135,0.0065,AvsC_1to2_simple,Class-clean control
gender,0.3655,0.3672,0.0035,AvsC_1to2_simple,Class-clean control
race_White,0.5057,0.5046,0.0022,AvsC_1to2_simple,Class-clean control
race_Black,0.0902,0.0941,0.0133,AvsC_1to2_simple,Class-clean control
race_Asian,0.0216,0.0219,0.0018,AvsC_1to2_simple,Class-clean control
race_Other,0.3824,0.3794,0.0062,AvsC_1to2_simple,Class-clean control
cci,2.0264,0.6915,0.5278,AvsC_1to2_simple,Class-clean control
n_unique_medications,31.7114,10.2912,0.7543,AvsC_1to2_simple,Class-clean control
