subgroup,label,n_in_group,n_complement,events_in_group,events_complement,hr_in_group,hr_ci_lower_in_group,hr_ci_upper_in_group,hr_complement,hr_ci_lower_complement,hr_ci_upper_complement,or_in_group,or_complement,interaction_p,interaction_q,fdr_significant,cell,comparator,ratio,adjustment,window_days,window_label
white,White,33970,70200,736,657,0.3609,0.3171,0.4108,0.7666,0.6889,0.8529,0.1689,0.568,1.37069352082819e-18,0.0,True,AvsC_1to1_simple,C,1,simple,730,2y
black,Black,22568,81602,149,1244,1.2633,1.0312,1.5476,0.4775,0.4365,0.5223,1.8846,0.2483,8.535978303090897e-18,0.0,True,AvsC_1to1_simple,C,1,simple,730,2y
age_le60,Age ≤ 60,19322,84848,19,1468,1.1962,0.9139,1.5656,0.5777,0.5315,0.6278,,0.3971,4.114681357936629e-07,1e-06,True,AvsC_1to1_simple,C,1,simple,1095,3y
age_gt70,Age > 70,60122,44048,1080,407,0.6103,0.5537,0.6727,0.6164,0.5379,0.7065,0.4471,0.2974,0.907358968843216,0.907359,False,AvsC_1to1_simple,C,1,simple,1095,3y
white,White,33970,70200,768,719,0.3978,0.3507,0.4511,0.8464,0.7627,0.9393,0.2183,0.7188,1.3225468690346767e-19,0.0,True,AvsC_1to1_simple,C,1,simple,1095,3y
black,Black,22568,81602,175,1312,1.4195,1.1656,1.7287,0.5233,0.4795,0.5712,2.4177,0.3155,1.1782247472829346e-19,0.0,True,AvsC_1to1_simple,C,1,simple,1095,3y
age_le60,Age ≤ 60,19322,84848,25,1627,1.2579,0.9645,1.6404,0.6826,0.6304,0.7392,,0.5499,1.5464968225448415e-05,2.1e-05,True,AvsC_1to1_simple,C,1,simple,1825,5y
age_gt70,Age > 70,60122,44048,1206,446,0.7278,0.6633,0.7986,0.6874,0.602,0.7849,0.6202,,0.4893157506415065,0.489316,False,AvsC_1to1_simple,C,1,simple,1825,5y
white,White,33970,70200,826,826,0.4657,0.4129,0.5253,0.9851,0.8911,1.089,0.3086,0.9827,7.093143939215243e-21,0.0,True,AvsC_1to1_simple,C,1,simple,1825,5y
black,Black,22568,81602,216,1436,1.6636,1.3767,2.0102,0.6082,0.5592,0.6616,3.2749,0.4392,1.6865206808751691e-21,0.0,True,AvsC_1to1_simple,C,1,simple,1825,5y
age_le60,Age ≤ 60,23348,133090,9,598,1.0744,0.8323,1.3868,1.0936,0.994,1.2032,7.6742,1.4105,0.898645050826313,0.898645,False,AvsC_1to2_full,C,2,full,365,1y
age_gt70,Age > 70,99018,57420,502,105,1.1005,0.9859,1.2283,1.0848,0.9295,1.266,1.4041,1.6514,0.8819149622097537,0.898645,False,AvsC_1to2_full,C,2,full,365,1y
white,White,57120,99318,321,286,0.8729,0.7547,1.0095,1.2401,1.1065,1.3898,0.6536,2.7804,0.00019580334819908166,0.000979,True,AvsC_1to2_full,C,2,full,365,1y
black,Black,29007,127431,81,526,1.4345,1.1654,1.7656,1.0138,0.9181,1.1195,5.771,1.1553,0.0031186580665806913,0.010396,True,AvsC_1to2_full,C,2,full,365,1y
hypertension,Hypertension,130762,25676,503,104,1.1128,1.0087,1.2277,0.9501,0.7674,1.1762,1.6528,,0.18745080757952884,0.312418,False,AvsC_1to2_full,C,2,full,365,1y
diabetes_any,Diabetes,97657,58781,236,371,1.3152,1.1676,1.4816,0.8442,0.7368,0.9673,3.7688,0.6681,1.54616590950392e-06,1.5e-05,True,AvsC_1to2_full,C,2,full,365,1y
prior_cvd,Prior CVD,107412,49026,421,186,1.1085,0.9953,1.2346,1.0232,0.8728,1.1995,1.6066,1.0299,0.4137905038371567,0.517238,False,AvsC_1to2_full,C,2,full,365,1y
obesity,Obesity,48676,107762,103,504,1.3003,1.0988,1.5387,1.0049,0.9043,1.1166,5.2927,1.0841,0.011001235586962255,0.027503,True,AvsC_1to2_full,C,2,full,365,1y
bph,BPH,24686,131752,268,339,1.1571,0.9637,1.3893,1.0593,0.9565,1.1732,1.5049,1.3479,0.40861113293980994,0.517238,False,AvsC_1to2_full,C,2,full,365,1y
heart_failure,Heart failure,69110,87328,268,339,1.1805,1.0349,1.3467,1.006,0.8907,1.1362,2.3167,0.9867,0.08039598036537098,0.160792,False,AvsC_1to2_full,C,2,full,365,1y
age_le60,Age ≤ 60,23348,133090,20,870,1.1125,0.8667,1.4279,1.1332,1.0366,1.2388,3.4757,1.4198,0.8915640262501894,0.891564,False,AvsC_1to2_full,C,2,full,730,2y
age_gt70,Age > 70,99018,57420,714,176,1.1413,1.0302,1.2643,1.1226,0.9693,1.3003,1.4281,1.6688,0.8564881779128404,0.891564,False,AvsC_1to2_full,C,2,full,730,2y
white,White,57120,99318,381,509,0.9973,0.8675,1.1465,1.1864,1.068,1.3178,1.0126,1.8026,0.051278907346205056,0.085465,False,AvsC_1to2_full,C,2,full,730,2y
black,Black,29007,127431,150,740,1.4217,1.1752,1.72,1.0534,0.9593,1.1567,2.8704,1.2424,0.005612405629667208,0.023708,True,AvsC_1to2_full,C,2,full,730,2y
hypertension,Hypertension,130762,25676,757,133,1.1417,1.0415,1.2514,1.0346,0.8428,1.2699,1.5591,1.0889,0.39000661311722323,0.487508,False,AvsC_1to2_full,C,2,full,730,2y
diabetes_any,Diabetes,97657,58781,431,459,1.3435,1.2035,1.4997,0.8745,0.7676,0.9962,2.5266,0.7632,8.049559502333561e-07,8e-06,True,AvsC_1to2_full,C,2,full,730,2y
prior_cvd,Prior CVD,107412,49026,618,272,1.1649,1.0531,1.2885,1.0217,0.8795,1.1868,1.6012,1.0226,0.15463452274457876,0.220906,False,AvsC_1to2_full,C,2,full,730,2y
obesity,Obesity,48676,107762,202,688,1.3375,1.1452,1.5622,1.0388,0.9403,1.1476,3.1226,1.1531,0.0072449066670563205,0.023708,True,AvsC_1to2_full,C,2,full,730,2y
bph,BPH,24686,131752,372,518,1.3483,1.1436,1.5896,1.047,0.9502,1.1536,1.8367,1.214,0.009483274788909915,0.023708,True,AvsC_1to2_full,C,2,full,730,2y
heart_failure,Heart failure,69110,87328,380,510,1.2506,1.1044,1.4161,1.027,0.9166,1.1507,2.3526,1.029,0.021929108918812758,0.043858,True,AvsC_1to2_full,C,2,full,730,2y
age_le60,Age ≤ 60,23348,133090,26,1294,1.136,0.8877,1.4538,1.031,0.9497,1.1193,3.0946,1.0838,0.4646665405185115,0.76518,False,AvsC_1to2_full,C,2,full,1095,3y
age_gt70,Age > 70,99018,57420,1085,235,1.029,0.9371,1.1299,1.0857,0.9423,1.2508,1.0634,1.3447,0.5356259056828656,0.76518,False,AvsC_1to2_full,C,2,full,1095,3y
white,White,57120,99318,649,671,0.8387,0.7392,0.9515,1.1829,1.0705,1.307,0.694,1.6609,2.8111003800529965e-05,0.000141,True,AvsC_1to2_full,C,2,full,1095,3y
black,Black,29007,127431,194,1126,1.4901,1.2429,1.7865,0.948,0.8693,1.0337,2.9244,0.9231,1.0359478745169134e-05,0.000104,True,AvsC_1to2_full,C,2,full,1095,3y
hypertension,Hypertension,130762,25676,1174,146,1.0312,0.9478,1.122,1.0582,0.8651,1.2945,1.1266,1.1511,0.8166268516832049,0.907363,False,AvsC_1to2_full,C,2,full,1095,3y
diabetes_any,Diabetes,97657,58781,753,567,1.1665,1.0558,1.2887,0.854,0.7537,0.9676,1.4201,0.7519,0.0001309454941395465,0.000436,True,AvsC_1to2_full,C,2,full,1095,3y
prior_cvd,Prior CVD,107412,49026,988,332,1.0311,0.9403,1.1307,1.022,0.8847,1.1807,1.1086,1.0171,0.9191837879970816,0.919184,False,AvsC_1to2_full,C,2,full,1095,3y
obesity,Obesity,48676,107762,434,886,1.0728,0.9361,1.2294,1.011,0.9197,1.1114,1.3954,1.0397,0.4834060191105543,0.76518,False,AvsC_1to2_full,C,2,full,1095,3y
bph,BPH,24686,131752,643,677,1.0128,0.8788,1.1671,1.0407,0.9481,1.1422,1.0929,1.1645,0.7536190128883529,0.907363,False,AvsC_1to2_full,C,2,full,1095,3y
heart_failure,Heart failure,69110,87328,629,691,1.0622,0.9484,1.1897,1.0092,0.9066,1.1233,1.2898,0.9836,0.5201154636355257,0.76518,False,AvsC_1to2_full,C,2,full,1095,3y
age_le60,Age ≤ 60,23348,133090,37,1930,1.155,0.9072,1.4707,0.9591,0.8905,1.0331,2.7294,0.9153,0.14946135511100256,0.213516,False,AvsC_1to2_full,C,2,full,1825,5y
age_gt70,Age > 70,99018,57420,1651,316,0.9288,0.8541,1.01,1.1177,0.9767,1.279,0.8609,1.3551,0.022279054593411587,0.044558,True,AvsC_1to2_full,C,2,full,1825,5y
white,White,57120,99318,907,1060,0.8114,0.7229,0.9108,1.0618,0.9701,1.1621,0.6734,1.2006,0.0003240307767749636,0.00162,True,AvsC_1to2_full,C,2,full,1825,5y
black,Black,29007,127431,397,1570,1.0855,0.9299,1.267,0.9316,0.8601,1.0091,1.3526,0.8763,0.08516327653194093,0.141939,False,AvsC_1to2_full,C,2,full,1825,5y
hypertension,Hypertension,130762,25676,1782,185,0.9661,0.8953,1.0426,0.9997,0.8241,1.2127,0.9549,0.9688,0.74689765541298,0.746898,False,AvsC_1to2_full,C,2,full,1825,5y
diabetes_any,Diabetes,97657,58781,1258,709,1.0309,0.9436,1.1263,0.8527,0.7576,0.9597,1.035,0.7694,0.011779344303256738,0.029448,True,AvsC_1to2_full,C,2,full,1825,5y
prior_cvd,Prior CVD,107412,49026,1341,626,1.0707,0.9835,1.1656,0.7722,0.679,0.8781,1.139,0.5379,3.2232410185435516e-05,0.000322,True,AvsC_1to2_full,C,2,full,1825,5y
obesity,Obesity,48676,107762,611,1356,1.1235,0.9917,1.2727,0.905,0.8303,0.9863,1.4729,0.8125,0.0051606420635427145,0.017202,True,AvsC_1to2_full,C,2,full,1825,5y
bph,BPH,24686,131752,923,1044,1.0063,0.889,1.1389,0.9379,0.8604,1.0223,1.047,0.9016,0.36057912959257277,0.450724,False,AvsC_1to2_full,C,2,full,1825,5y
heart_failure,Heart failure,69110,87328,987,980,0.9824,0.8874,1.0875,0.9582,0.8679,1.0579,1.0869,0.8803,0.7304526464857581,0.746898,False,AvsC_1to2_full,C,2,full,1825,5y
age_le60,Age ≤ 60,28983,127272,8,1256,1.0839,0.8519,1.379,0.6992,0.6418,0.7616,,0.4318,0.0007738755003023034,0.001032,True,AvsC_1to2_simple,C,2,simple,365,1y
age_gt70,Age > 70,90183,66072,1211,53,0.6008,0.5459,0.6613,1.249,1.0694,1.4587,0.3384,,3.786260758480502e-15,0.0,True,AvsC_1to2_simple,C,2,simple,365,1y
white,White,50957,105298,391,873,0.73,0.6332,0.8416,0.7369,0.6687,0.8121,0.424,,0.9147574502076348,0.914757,False,AvsC_1to2_simple,C,2,simple,365,1y
black,Black,33899,122356,77,1187,1.5095,1.2335,1.8473,0.6419,0.5875,0.7012,10.289,0.3269,2.9094704076780884e-14,0.0,True,AvsC_1to2_simple,C,2,simple,365,1y
age_le60,Age ≤ 60,28983,127272,15,1789,1.1589,0.9136,1.4701,0.6676,0.6171,0.7223,,,1.5967330468409095e-05,3.2e-05,True,AvsC_1to2_simple,C,2,simple,730,2y
age_gt70,Age > 70,90183,66072,1414,390,0.6499,0.5933,0.7118,0.8289,0.7279,0.9438,0.4492,0.5452,0.0026445365219181652,0.002645,True,AvsC_1to2_simple,C,2,simple,730,2y
white,White,50957,105298,736,1068,0.5959,0.5256,0.6757,0.7748,0.7064,0.8498,0.3479,0.5719,0.0009674149120737663,0.00129,True,AvsC_1to2_simple,C,2,simple,730,2y
black,Black,33899,122356,229,1575,1.1737,0.9874,1.3953,0.6305,0.5804,0.6849,1.5137,0.3777,2.100897705431368e-10,0.0,True,AvsC_1to2_simple,C,2,simple,730,2y
age_le60,Age ≤ 60,28983,127272,19,1879,1.2023,0.9494,1.5226,0.7409,0.6863,0.7999,,,0.0001324546779423756,0.000265,True,AvsC_1to2_simple,C,2,simple,1095,3y
age_gt70,Age > 70,90183,66072,1491,407,0.732,0.6703,0.7994,0.8727,0.7675,0.9922,0.5845,0.6648,0.02688066771171247,0.026881,True,AvsC_1to2_simple,C,2,simple,1095,3y
white,White,50957,105298,768,1130,0.6567,0.581,0.7422,0.8524,0.7789,0.933,0.4495,0.7242,0.0007768787229397605,0.001036,True,AvsC_1to2_simple,C,2,simple,1095,3y
black,Black,33899,122356,255,1643,1.3257,1.1208,1.5681,0.689,0.6355,0.7471,1.9522,0.4798,5.889043477286951e-12,0.0,True,AvsC_1to2_simple,C,2,simple,1095,3y
age_le60,Age ≤ 60,28983,127272,25,2843,1.2683,1.004,1.6022,0.6538,0.6103,0.7003,,0.5063,9.744335415256323e-08,0.0,True,AvsC_1to2_simple,C,2,simple,1825,5y
age_gt70,Age > 70,90183,66072,2136,732,0.6785,0.6266,0.7348,0.7048,0.6281,0.7908,0.5496,0.4318,0.5945153069287782,0.594515,False,AvsC_1to2_simple,C,2,simple,1825,5y
white,White,50957,105298,1366,1502,0.5045,0.4533,0.5616,0.8467,0.7787,0.9206,0.3316,0.7441,8.307695093921116e-14,0.0,True,AvsC_1to2_simple,C,2,simple,1825,5y
black,Black,33899,122356,529,2339,0.941,0.8162,1.0849,0.6363,0.591,0.6852,0.9104,0.4589,1.7325965466166505e-06,2e-06,True,AvsC_1to2_simple,C,2,simple,1825,5y
