cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,hr,ci_lower,ci_upper,p_value,n_events,n,concordance
AvsB_1to2_full,B,2,full,0,365,1y,52147,104294,234,551,success,0.9443,0.8665,1.0291,0.1914483478548106,785,156441,0.9456
AvsB_1to2_full,B,2,full,0,730,2y,52147,104294,351,798,success,0.9414,0.8689,1.0199,0.1392357869651641,1149,156441,0.9473
AvsB_1to2_full,B,2,full,0,1095,3y,52147,104294,445,1041,success,0.9192,0.8522,0.9915,0.029143227360065648,1486,156441,0.9482
AvsB_1to2_full,B,2,full,0,1825,5y,52147,104294,610,1351,success,0.9332,0.8698,1.0012,0.05402436531403954,1961,156441,0.9513
AvsB_1to2_full,B,2,full,1,365,1y,52147,104294,234,580,success,0.9306,0.8543,1.0138,0.09983192346988295,814,156441,0.9484
AvsB_1to2_full,B,2,full,1,730,2y,52147,104294,351,852,success,0.9191,0.8488,0.9952,0.03757148517297293,1203,156441,0.9488
AvsB_1to2_full,B,2,full,1,1095,3y,52147,104294,445,1108,success,0.8954,0.8305,0.9652,0.003941280640587307,1553,156441,0.949
AvsB_1to2_full,B,2,full,1,1825,5y,52147,104294,610,1417,success,0.9143,0.8526,0.9805,0.012054277198486141,2027,156441,0.9508
AvsB_1to2_full,B,2,full,2,365,1y,52147,104294,234,602,success,0.9183,0.8433,1.0001,0.0502752604745722,836,156441,0.946
AvsB_1to2_full,B,2,full,2,730,2y,52147,104294,351,896,success,0.8981,0.8298,0.972,0.007690824721330206,1247,156441,0.9478
AvsB_1to2_full,B,2,full,2,1095,3y,52147,104294,445,1104,success,0.8972,0.8322,0.9672,0.004678806766188767,1549,156441,0.9486
AvsB_1to2_full,B,2,full,2,1825,5y,52147,104294,610,1378,success,0.9287,0.8657,0.9962,0.038915224680806736,1988,156441,0.9508
AvsB_1to2_full,B,2,full,3,365,1y,52147,104294,234,557,success,0.9446,0.8668,1.0293,0.19341877515732106,791,156441,0.9463
AvsB_1to2_full,B,2,full,3,730,2y,52147,104294,351,839,success,0.926,0.8551,1.0028,0.0584800329203153,1190,156441,0.9453
AvsB_1to2_full,B,2,full,3,1095,3y,52147,104294,445,1051,success,0.9208,0.8537,0.9931,0.03248780334806006,1496,156441,0.9451
AvsB_1to2_full,B,2,full,3,1825,5y,52147,104294,610,1364,success,0.9367,0.8731,1.005,0.06852366690933202,1974,156441,0.9476
AvsB_1to2_full,B,2,full,4,365,1y,52147,104294,234,597,success,0.9183,0.8432,1.0001,0.05030852361033288,831,156441,0.9455
AvsB_1to2_full,B,2,full,4,730,2y,52147,104294,351,893,success,0.8951,0.8271,0.9688,0.0060181411834784255,1244,156441,0.9467
AvsB_1to2_full,B,2,full,4,1095,3y,52147,104294,445,1108,success,0.8904,0.826,0.9599,0.0024613361087389212,1553,156441,0.9476
AvsB_1to2_full,B,2,full,4,1825,5y,52147,104294,610,1449,success,0.8967,0.8363,0.9614,0.0021577926297766583,2059,156441,0.9504
AvsB_1to2_full,B,2,full,5,365,1y,52147,104294,234,514,success,0.9688,0.8884,1.0564,0.47246023294250383,748,156441,0.943
AvsB_1to2_full,B,2,full,5,730,2y,52147,104294,351,789,success,0.9498,0.8765,1.0291,0.20781348819153617,1140,156441,0.9457
AvsB_1to2_full,B,2,full,5,1095,3y,52147,104294,445,976,success,0.9534,0.8833,1.0291,0.22100673220638142,1421,156441,0.9465
AvsB_1to2_full,B,2,full,5,1825,5y,52147,104294,610,1282,success,0.968,0.9017,1.0391,0.368091058327217,1892,156441,0.9488
AvsB_1to2_full,B,2,full,6,365,1y,52147,104294,234,558,success,0.9435,0.8658,1.0282,0.184777502329438,792,156441,0.9455
AvsB_1to2_full,B,2,full,6,730,2y,52147,104294,351,834,success,0.9283,0.8571,1.0053,0.06720922804455606,1185,156441,0.9474
AvsB_1to2_full,B,2,full,6,1095,3y,52147,104294,445,1068,success,0.9139,0.8474,0.9855,0.019386873441664943,1513,156441,0.9476
AvsB_1to2_full,B,2,full,6,1825,5y,52147,104294,610,1406,success,0.9211,0.8588,0.9879,0.021390486083671462,2016,156441,0.9503
AvsB_1to2_full,B,2,full,7,365,1y,52147,104294,234,595,success,0.9211,0.8457,1.0032,0.05929756622604261,829,156441,0.9463
AvsB_1to2_full,B,2,full,7,730,2y,52147,104294,351,862,success,0.9132,0.8435,0.9886,0.024933941542576873,1213,156441,0.9476
AvsB_1to2_full,B,2,full,7,1095,3y,52147,104294,445,1109,success,0.8944,0.8297,0.9642,0.0036034236634749687,1554,156441,0.9494
AvsB_1to2_full,B,2,full,7,1825,5y,52147,104294,610,1474,success,0.8925,0.8326,0.9568,0.0013582535651582436,2084,156441,0.9514
AvsB_1to2_full,B,2,full,8,365,1y,52147,104294,234,551,success,0.9471,0.869,1.0322,0.21555128542180987,785,156441,0.9455
AvsB_1to2_full,B,2,full,8,730,2y,52147,104294,351,856,success,0.9174,0.8473,0.9933,0.03357015260075087,1207,156441,0.9467
AvsB_1to2_full,B,2,full,8,1095,3y,52147,104294,445,1092,success,0.9031,0.8376,0.9737,0.007982100607925436,1537,156441,0.948
AvsB_1to2_full,B,2,full,8,1825,5y,52147,104294,610,1417,success,0.9161,0.8542,0.9825,0.014055325329731716,2027,156441,0.9498
AvsB_1to2_full,B,2,full,9,365,1y,52147,104294,234,559,success,0.9418,0.8643,1.0263,0.17126201499256613,793,156441,0.9457
AvsB_1to2_full,B,2,full,9,730,2y,52147,104294,351,809,success,0.9391,0.8669,1.0173,0.12337980067044914,1160,156441,0.9469
AvsB_1to2_full,B,2,full,9,1095,3y,52147,104294,445,1061,success,0.9152,0.8486,0.987,0.021507603464736024,1506,156441,0.9476
AvsB_1to2_full,B,2,full,9,1825,5y,52147,104294,610,1347,success,0.9415,0.8775,1.0102,0.09325986553788075,1957,156441,0.9494
AvsB_1to2_simple,B,2,simple,0,365,1y,52143,104286,234,622,success,0.9091,0.835,0.9897,0.027971442838994224,856,156429,0.8332
AvsB_1to2_simple,B,2,simple,0,730,2y,52143,104286,351,878,success,0.9101,0.8408,0.9852,0.019875743476372394,1229,156429,0.8283
AvsB_1to2_simple,B,2,simple,0,1095,3y,52143,104286,445,1169,success,0.8758,0.8128,0.9437,0.0005008300240549083,1614,156429,0.8405
AvsB_1to2_simple,B,2,simple,0,1825,5y,52143,104286,610,1169,success,1.0236,0.9527,1.0998,0.5235973870121506,1779,156429,0.8403
AvsC_1to1_full,C,1,full,0,365,1y,52146,52146,234,187,success,1.0768,0.9719,1.1931,0.157261222039327,421,104292,0.9504
AvsC_1to1_full,C,1,full,0,730,2y,52146,52146,351,254,success,1.1376,1.0327,1.2532,0.008988392038977427,605,104292,0.9498
AvsC_1to1_full,C,1,full,0,1095,3y,52146,52146,445,348,success,1.1293,1.0304,1.2377,0.009346879105063603,793,104292,0.9476
AvsC_1to1_full,C,1,full,0,1825,5y,52146,52146,610,534,success,1.0941,1.0059,1.19,0.036076452366996914,1144,104292,0.9502
AvsC_1to1_full,C,1,full,1,365,1y,52146,52146,234,352,success,0.8824,0.8006,0.9727,0.011823997543780128,586,104292,0.9487
AvsC_1to1_full,C,1,full,1,730,2y,52146,52146,351,464,success,0.9078,0.8287,0.9945,0.03767515312669186,815,104292,0.9507
AvsC_1to1_full,C,1,full,1,1095,3y,52146,52146,445,562,success,0.9228,0.846,1.0065,0.06982972932024858,1007,104292,0.9521
AvsC_1to1_full,C,1,full,1,1825,5y,52146,52146,610,660,success,0.9969,0.9187,1.0819,0.94151293682347,1270,104292,0.9526
AvsC_1to1_full,C,1,full,2,365,1y,52146,52146,234,285,success,0.9443,0.855,1.0429,0.25835101403023614,519,104292,0.9483
