cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsC_1to2_full,C,2,full,8,365,1y,52146,104292,234,584,4.5038,3.9452,5.1193,5.622,5.1752,6.097,0.8011,0.6884,0.9323
AvsC_1to2_full,C,2,full,8,730,2y,52146,104292,351,876,3.3825,3.0378,3.7555,4.2241,3.949,4.5134,0.8008,0.7075,0.9063
AvsC_1to2_full,C,2,full,8,1095,3y,52146,104292,445,1381,2.8621,2.6023,3.1408,4.4501,4.2185,4.6912,0.6432,0.578,0.7157
AvsC_1to2_full,C,2,full,8,1825,5y,52146,104292,610,1696,2.3585,2.175,2.5533,3.2889,3.1342,3.4492,0.7171,0.6537,0.7866
AvsC_1to2_full,C,2,full,9,365,1y,52146,104292,234,464,4.5038,3.9452,5.1193,4.464,4.0671,4.8893,1.0089,0.8622,1.1806
AvsC_1to2_full,C,2,full,9,730,2y,52146,104292,351,688,3.3825,3.0378,3.7555,3.3147,3.0717,3.572,1.0205,0.8973,1.1605
AvsC_1to2_full,C,2,full,9,1095,3y,52146,104292,445,984,2.8621,2.6023,3.1408,3.1651,2.9704,3.3692,0.9043,0.8085,1.0114
AvsC_1to2_full,C,2,full,9,1825,5y,52146,104292,610,1269,2.3585,2.175,2.5533,2.4543,2.3212,2.5932,0.961,0.8725,1.0584
AvsC_1to2_simple,C,2,simple,0,365,1y,52085,104170,234,1030,4.5091,3.9498,5.1253,9.9681,9.3685,10.5959,0.4524,0.3925,0.5213
AvsC_1to2_simple,C,2,simple,0,730,2y,52085,104170,351,1453,3.3864,3.0414,3.7599,7.046,6.6883,7.4178,0.4806,0.4277,0.54
AvsC_1to2_simple,C,2,simple,0,1095,3y,52085,104170,445,1453,2.8655,2.6054,3.1445,4.7043,4.4655,4.9526,0.6091,0.5478,0.6774
AvsC_1to2_simple,C,2,simple,0,1825,5y,52085,104170,610,2258,2.3613,2.1776,2.5563,4.3995,4.2199,4.5848,0.5367,0.4908,0.5869
