cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates,reason
AvsB_1to1_full,B,1,full,9,1825,5y,52147,52147,610,667,success,0.8951,0.7963,1.006,0.06293723542577712,0.0596,104294.0,1277.0,14.0,
AvsB_1to1_simple,B,1,simple,0,365,1y,52143,52143,234,162,success,1.4561,1.1896,1.7822,0.0002689121118237964,0.1031,104286.0,396.0,6.0,
AvsB_1to1_simple,B,1,simple,0,730,2y,52143,52143,351,162,success,2.201,1.8242,2.6556,1.7976825242652084e-16,0.0958,104286.0,513.0,6.0,
AvsB_1to1_simple,B,1,simple,0,1095,3y,52143,52143,445,162,success,2.8044,2.3392,3.3621,7.724081535065932e-29,0.0925,104286.0,607.0,6.0,
AvsB_1to1_simple,B,1,simple,0,1825,5y,52143,52143,610,162,success,3.8765,3.2552,4.6165,3.378351806350734e-52,0.0891,104286.0,772.0,6.0,
AvsB_1to2_full,B,2,full,0,365,1y,52147,104294,234,551,success,0.794,0.6787,0.929,0.003980693753595163,0.0801,156441.0,785.0,14.0,
AvsB_1to2_full,B,2,full,0,730,2y,52147,104294,351,798,success,0.8234,0.7229,0.9379,0.003436381166806339,0.0664,156441.0,1149.0,14.0,
AvsB_1to2_full,B,2,full,0,1095,3y,52147,104294,445,1041,success,0.7966,0.7093,0.8947,0.00012449601363686232,0.0593,156441.0,1486.0,14.0,
AvsB_1to2_full,B,2,full,0,1825,5y,52147,104294,610,1351,success,0.8449,0.7631,0.9355,0.0011805088861012074,0.052,156441.0,1961.0,14.0,
AvsB_1to2_full,B,2,full,1,365,1y,52147,104294,234,580,success,0.788,0.6741,0.9212,0.002779179938697851,0.0796,156441.0,814.0,14.0,
AvsB_1to2_full,B,2,full,1,730,2y,52147,104294,351,852,success,0.8003,0.7034,0.9107,0.0007231480589502339,0.0659,156441.0,1203.0,14.0,
AvsB_1to2_full,B,2,full,1,1095,3y,52147,104294,445,1108,success,0.7727,0.6886,0.867,1.144927459238392e-05,0.0588,156441.0,1553.0,14.0,
AvsB_1to2_full,B,2,full,1,1825,5y,52147,104294,610,1417,success,0.8312,0.7514,0.9196,0.0003338920981881329,0.0515,156441.0,2027.0,14.0,
AvsB_1to2_full,B,2,full,2,365,1y,52147,104294,234,602,success,0.7556,0.647,0.8825,0.00040264777130322686,0.0792,156441.0,836.0,14.0,
AvsB_1to2_full,B,2,full,2,730,2y,52147,104294,351,896,success,0.7553,0.6643,0.8587,1.8045376725861228e-05,0.0655,156441.0,1247.0,14.0,
AvsB_1to2_full,B,2,full,2,1095,3y,52147,104294,445,1104,success,0.7774,0.6927,0.8725,1.8946954303521457e-05,0.0589,156441.0,1549.0,14.0,
AvsB_1to2_full,B,2,full,2,1825,5y,52147,104294,610,1378,success,0.8581,0.7752,0.9499,0.003160837519112282,0.0518,156441.0,1988.0,14.0,
AvsB_1to2_full,B,2,full,3,365,1y,52147,104294,234,557,success,0.8281,0.7079,0.9687,0.01842229824510587,0.08,156441.0,791.0,14.0,
AvsB_1to2_full,B,2,full,3,730,2y,52147,104294,351,839,success,0.8161,0.7172,0.9286,0.0020402642172984865,0.0659,156441.0,1190.0,14.0,
AvsB_1to2_full,B,2,full,3,1095,3y,52147,104294,445,1051,success,0.8225,0.7326,0.9235,0.0009397877173423008,0.0591,156441.0,1496.0,14.0,
AvsB_1to2_full,B,2,full,3,1825,5y,52147,104294,610,1364,success,0.8736,0.7895,0.9667,0.008923392050922694,0.0517,156441.0,1974.0,14.0,
AvsB_1to2_full,B,2,full,4,365,1y,52147,104294,234,597,success,0.7514,0.6434,0.8776,0.0003066695611426621,0.0792,156441.0,831.0,14.0,
AvsB_1to2_full,B,2,full,4,730,2y,52147,104294,351,893,success,0.7428,0.6536,0.8443,5.335228851985011e-06,0.0653,156441.0,1244.0,14.0,
AvsB_1to2_full,B,2,full,4,1095,3y,52147,104294,445,1108,success,0.759,0.6765,0.8515,2.5896272324681304e-06,0.0587,156441.0,1553.0,14.0,
